GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	0	35.1525188068566	70.5979340243141	3.92479512300228	2.28636405048905	15.2990502648187	9.60136317728521	1.99011448178848	1854.0000742382	1.64675869863322
A1BG.AS1	11.1875705526863	16.3943525171827	132.542547167358	0.756103717419531	14.142630264693	63.4532954569934	1592.99525833373	827.066534677895	514.606555329896	8.35424517709433
A2M	1.43409133746146	9.27142037974222	0	0	0.768609112308227	0.533469813173104	159.054776451236	6.91318932966923	1793.49842884312	0.843178212446438
A2M.AS1	5846.67888770706	3401.44437056284	62.0277996642215	0	86.3423819353919	652.979140620409	60.072805731947	0.334914947892836	9817054.74693138	133.058562188527
A2ML1	0.192082741689954	8.31721631651491	0.729714788936374	0.159868700203773	0.256510895632719	0.0207381617677366	2.52655017432159	0.454427367955362	18.1371240969318	0.374299312300878
A2ML1.AS1	0.320640544743687	0	0	0	0	0	0	0	0	0
A2MP1	0.22119287265086	6.50257453281047	0.0947739410514418	0	0	0.281066198119835	0	6.71995910596372	0	0.169195128869772
A3GALT2	0	0	0	0	0	0	20.7492401901273	0	18.9739506789117	0.232354018041119
A4GALT	0	41.4786826690662	0.346267042510042	0.240000176560134	0	1.63084003881852	19.4359545806691	1.92060652933646	1113.70545605239	1.86563453382424
A4GNT	0.469289167889036	0	0	0	0	0	2.25781519849464	0.144689801459536	0	0
AAAS	50.1975134275414	6.56317587856944	398.128737591972	7.32272945792757	0.351834794708213	13.1126283145767	5413.00295072443	20.7725773099989	4.4560543076478	0.269885702984689
AACS	68.6125680306887	478.039131556835	112.184923272241	34.6196077191459	0.534182760257375	4.33828263376913	111.290301462678	3.48723818570644	31.0204715903695	0.163196680923507
AACSP1	0	1.1502729614458	0.22358883554005	0	0.160019448260365	0.129900293486047	0	0.880263311638295	0	0
AADACL2	0	0	0	0.0834478421456777	0	0	0	0	0	0.00133471191087456
AADACL2.AS1	1.81868947349722	0.498565951829982	0	0	0.239000174053472	0	0	0	27.5909544380159	0
AADACL3	0.211783991298503	1.78841115424609	0	0	0	0.0208650045532633	1.30181635705555	1.00037051909494	4.60174285784409	0.0325520679954379
AADACL4	0	0	0.0340138006706123	0.0441700098187817	0	0	1.14076986864287	0.0873440274081288	0	0.0480103378483151
AADAT	0.0512797029364636	0.787173928963757	0	0.0600540842685257	0	0	1.01942889835528	1.20323082272161	0	0.141839858746839
AAGAB	85.1056370823417	70.3303423794962	25.964537834354	42.3030866241808	3.16412297903331	2.01435993702607	5437.74221160974	0.322408271239718	9.41002512578107	0.178352476116923
AAK1	57389.002317407	332112.475222537	7.20432852052987	39.6479675582741	6.94526892331789	498.247664847363	2669659.80942506	40.6619965708802	197723800.210514	0.494091602444897
AAMDC	3.570091063069	16.9395496890016	11.6696783027185	1.94016131726575	1.97868285918988	3.0592518715579	178.665313063692	17.0229462521929	91.4561464856798	0.434915330199328
AAMP	115.547518705239	6086.98680484849	69.1379553649744	96.4028877869466	0.970891660757221	13.6879913899459	154549.94450735	4.07425843731523	6183639.42924137	0.34867096568256
AANAT	0.0598873232960568	6.81638530968711	0.224753858022715	0	0.490580484423643	0.286513504021453	4.4864830180674	2.62160913004523	10.6396558722685	0.547815490902295
AAR2	195.844681466021	359.978419964956	3.05958479416598	64.0464799202884	2.95244573399753	103.647227576369	5798.80902713327	3.66780582267107	7712.3156266705	0.227372455940255
AARD	0	4.16330845485472	1.35580568368255	0	0.786652092360913	0.942479743976253	0	0	6.09183347956202	0.0863576566984665
AARS1	15.267217404473	12293.3753985774	1162.67591849679	192.293362097783	0.439417476823085	58.4730877992275	147.269604296635	13.1476625863003	2926691.85748397	0.817313771517319
AARS2	238.878407354683	7000.63548613831	198.655880485293	5.40633494136889	0.538691454124456	36.3782124718778	42508.6724891802	68.6692922410661	1148.58852753535	3.70065072177917
AARSD1	38.5914445696331	3.61682776637005	58.4324775671376	5.13482672895413	0.605898209489579	0.785238173570993	859.733812697958	15.8652974926613	14560.7211454386	5.93262201634196
AARSD1P1	2.94201680340766	17.4172209248662	1.1572618625755	1.1881093818875	0.101740363933163	0.997485491593159	31.5762558133011	1.81785352495555	61.2124378261985	0.364478179121169
AASDH	7.03059206937692	90.805840329128	86.5201830234604	24.8774105923035	3.00384462776607	6.33061153623552	2107.89261979624	87.12490214353	7935.66924190682	1.64985236577548
AASDHPPT	414.095085729047	1739.258027958	6.64864244695071	1.00226718935758	3.21063995002879	105.031249134366	11055.2727768458	0.542169087698259	102895.948923758	2.05667473466409
AASS	34.3339437803238	371.220281923525	90.4823589727455	1.84145869399135	44.9956933899175	2.19380048449483	202.200400728158	0.674027363305186	0	1.64835816652701
AATBC	1.51105498863349	17.2710953486663	4.25311275602564	20.5242742419422	18.6463650106315	0.194224040718741	3678.56144145256	210.216083480136	1058.99365845289	1.19045736312962
AATF	114.972395305944	592.43558723466	307.980066827142	186.184493422075	11.0098500362645	32.1043580306465	5465.62481596845	0.569779598253888	5.98416694555452	0.109493310089417
AATK	0	77051164.2764224	0	0	0	2.63589290291901	0	301.904309373123	45726.9220551494	0.0800079552201745
ABALON	5.31097390171689	40.2429082595118	2.0282791097333	0.561287558981069	13.0116240610385	4.88603723213699	73.8384362417632	35.4805638997151	0	0.510172867072956
ABAT	51.8199832769285	7308.86171691333	26.1689495933344	181.697146996057	449.087245328731	29.9183567389393	4749.5204013156	147.600221466501	84.2854936524614	0.115572885513033
ABCA1	2.20911441841297	22359324.3027987	12.5799634605064	0	0	21.6197757197135	0.531101408217326	0.596274977584856	9699.49182661729	0.263472101886285
ABCA10	3.39190967296337	51.0177206359319	5.91411556111049	0	0.419387330793708	0	0	0.390626819364932	0	1.8050788126471
ABCA11P	32.2145138290528	3.98607926809994	35.4523406318826	0.538218109227295	6.67790052622312	1.53994466793878	458.703326398116	63.5235068272074	60.0591250119308	5.33812571613495
ABCA12	0.749467446333151	0.0262101233626434	0.557889360234647	0	0	0.296810762957328	0.419978823127196	0.241139334552509	10.2171083469017	0
ABCA13	0	1.77678378403856	2.12211684847448	0	5.96303949766173	0.925863854088371	2.54142072718603	2642.27872889267	354043.645611959	2.05119554277331
ABCA17P	4.3152134373442	19.5268962995575	1.06548543928124	1.06356517564016	2.47196793251331	0	41.3031576430155	2.40317332771905	15.0067296947106	0.6648545397602
ABCA2	1039.22618146584	10658.9785215324	4145.45141327922	1.11713122799109	17.9045598712956	1.25088593013469	321501.166509413	59873.0321550255	3037264.01219443	0.561573164293784
ABCA3	55.5867591043345	9.67552278198935	4.95281178813532	2.30177946092779	0.543523228322062	6.57019235575862	4509.64796153035	7.75551775184408	6471.40101608793	2.92675444773089
ABCA4	1.91868660860676	3.670370656338	0.622124551917226	0	0.130905093114188	0.0876579886288089	0.245061333294267	1.28328130849456	24.9480592621463	0.315059692526484
ABCA5	377.367079832216	48964.1897679826	165.110826935051	15.0075612341969	2.94805894546352	0	572.570796739704	0.688559515168854	294.611925756306	2.11084189948041
ABCA6	3.11072621321049	101.600705048235	5.18221597646534	1.44101180931354	4.0404807664046	7.39238760643705	20.1815201275873	0.756451242663825	7194.26069940389	2.39991582111763
ABCA7	7956.15605625436	12473.162375828	1.18894550718811	0	4.84358439531338	3620.25514923386	0	11048.7486856638	29.4751923605655	0.226371119635765
ABCA9	0	0.778867830052248	0.417100184723682	0.439615990321827	0	0.370142093922396	2.01901731833608	4.67259798955065	272.081277361458	1.87881629826128
ABCA9.AS1	0.0984955398455473	0.0693815480657812	0.208577627922429	0	0.32830140040453	0	0.474505127081226	0.40132916251777	10.7593523878723	0
ABCB1	5.94224684324286	23.6108217775839	136.022862599735	1.01520919971137	84.4487422220028	0	25011.3708201993	0.34031904064851	10549.9589646665	0.467781829168954
ABCB10	64.6217708272381	565.433967888578	24.9719378564931	0	2910.7836269307	18.5196268185561	2835.59190774802	23.7752340582822	2.16474211960796	0.916451439734384
ABCB10P1	0	1.25035179031288	0.625417942946592	0	0.402652728133951	0	2.91399542530394	0.373149486163984	9.36380804667937	0.0712969862178078
