CellType,Category,mean,sd,n
T cells follicular helper,RBC,0,0,6
T cells follicular helper,SOL,0,0,5
T cells follicular helper,STR,0,NA,1
T cells follicular helper,Unaffected,0,0,7
T cells gamma delta,ENE,0,0,6
T cells gamma delta,IMM,0,0,4
T cells gamma delta,RBC,0,0,6
T cells gamma delta,SOL,0,0,5
T cells gamma delta,STR,0,NA,1
T cells gamma delta,Unaffected,0,0,7
T cells regulatory (Tregs),ENE,3.7064768526813e-4,9.078977032506121e-4,6
T cells regulatory (Tregs),IMM,0,0,4
T cells regulatory (Tregs),RBC,0,0,6
T cells regulatory (Tregs),SOL,0,0,5
T cells regulatory (Tregs),STR,0,NA,1
T cells regulatory (Tregs),Unaffected,2.899303858690371e-4,7.670836985304676e-4,7
