"","6","7","8","9","18","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000000003.15",6.26885289104022,6.46204654325221,6.51711323351722,6.3800810287935,6.42230352188362,6.25064064898905,6.43564697276784,6.3109784973463,6.32779922329533,6.13502095708436,6.20658826826536,6.499838708536
"ENSG00000000419.14",9.95631209384496,10.2009915821594,9.95924320187177,10.0595891710174,9.67666037519265,9.86453885632655,9.96108420444296,9.96355465631758,10.1410659876983,10.1148735907118,9.92409560664662,10.3118905889716
"ENSG00000000457.14",10.1191656411353,10.0598934284327,9.91043065276696,9.92384982514046,10.0496559910941,9.94733088022548,9.98860543774713,9.93146648580252,9.49470106640091,9.68670299821964,10.0549369473649,9.65824832312792
"ENSG00000000460.17",8.23968133032782,8.43813534607166,8.53138536576716,7.94523398897642,8.79725122055181,8.72065605157269,8.4931819846745,8.64125215345008,7.91278094701238,8.16034576715234,8.00544302367635,7.90534297880049
"ENSG00000000938.13",13.5343776416531,14.3401450595543,13.8584560910326,13.6342771741679,13.3004217121437,14.0345756368618,13.7107387354778,14.2097788215871,14.4485419115709,13.3870643817833,13.979663364041,13.0777302848766
"ENSG00000000971.17",8.2616470628844,8.2850802662614,7.78619379137623,7.9622139718105,7.84863317954727,8.196513323366,7.73309436516209,7.49997994773846,6.81551972535451,7.82134520416519,8.14197241812472,8.85077845917066
"ENSG00000001036.14",8.92910780532057,9.13290273312215,9.16267817858675,9.49434421046896,9.12265206412522,9.49562508490702,9.08688675755426,9.39153307926367,9.60001346925341,8.92387876635272,9.02663567483084,9.09653392822714
"ENSG00000001084.13",10.4567022582644,9.66863506362051,10.3408927288069,10.5846063865586,10.5800360615186,10.1091584163719,9.78713546533474,10.2164073241067,12.1889116571253,10.3334635952451,10.2976664688081,10.1346437632624
"ENSG00000001167.15",11.1480449676697,11.7577456491339,11.0845202320078,10.9530768242724,11.2331793330275,11.2050290919915,11.3199953924107,11.4414742177181,11.4789489412767,11.1494964147108,11.0583318277534,11.0291336257261
"ENSG00000001460.18",7.34936311660565,7.40476860407379,7.27143525152736,7.7147545380897,7.69987792964982,8.02450111753091,7.6647495406556,7.49997994773846,6.94951027724913,7.27241283405241,7.3976397782861,7.5432362206538
"ENSG00000001461.17",11.4085436228664,10.8940713195223,11.0197035796463,11.2764589023292,11.5193411724867,11.3017248799724,11.4204507698099,10.9588919145924,10.1043074654119,11.3143847036041,11.2934384231484,11.7141965370941
"ENSG00000001497.18",10.7298605183558,10.1726145460213,10.3631971734392,10.9978599920786,10.7551860124458,10.4414775064764,10.6118547857932,10.3940287106734,10.0146866863557,10.9201819251145,10.8376721732683,10.6184754467437
"ENSG00000001561.7",9.3011375870616,8.74916505238818,9.10314550281615,8.46185716735183,9.21932540638147,8.65538193722669,8.74592759932579,8.92247551732716,8.20122104095548,8.90905762457666,9.24553397673457,9.83482829811941
"ENSG00000001629.10",10.9890021672631,10.5601478372188,11.0790249503176,10.5219106690079,10.890826112298,10.5590149431249,10.3770991216206,10.8615524626883,10.1228044425329,10.849975027881,10.7876185402716,10.4810974461209
"ENSG00000001630.18",8.82472458785012,8.13384784336363,8.20574200364631,8.79335012531802,8.06806754324148,8.65909012445322,8.47651728208976,8.59129314736378,8.78860896431681,8.47550341614864,8.42088195423323,8.80659679558887
"ENSG00000001631.17",11.1900433178101,11.1288652588531,11.2982207534915,11.0273836956418,11.4831111803678,11.0469561274946,11.1410490801864,11.1302860751666,10.8341382553155,11.1735403209514,10.9375186412633,11.090687378117
"ENSG00000002016.18",8.73134740812842,8.65428792051323,8.81832824334784,9.16724033967785,8.99786257139885,8.6253528085728,8.68963701098142,8.60024195158235,8.0615808910722,8.62588220443393,8.63268129640688,9.13884128457973
"ENSG00000002330.14",8.63123617069187,8.99743844552875,8.77904457408939,8.62899916047547,8.52862849951808,9.21650828725738,8.85210454972094,9.08066173596514,9.33120504392123,8.69011478231429,8.94748752227235,8.81449591103516
"ENSG00000002549.13",9.84468908267346,10.3137281604997,10.3439547080229,10.902012969826,10.4874851109147,11.602135864808,10.5117739315037,10.6246964647674,10.1665450489181,10.297955113753,10.1182006521814,10.1572688101408
"ENSG00000002586.20",11.7846977713447,11.4077317721687,11.7615357813678,11.7018938428445,11.8519923248503,11.8103619394661,11.8770138483426,11.78521909494,12.0699621882858,12.1611316414292,12.0075628038144,11.9924267211523
