"gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC6A15","ENSG00000072041.18",3.8329439784661,23.2410629511008,3.9051860756212,5.95133304817079,2.65967237783158e-09,2.87976026709715e-05
"ENSG00000285283","ENSG00000285283.1",7.65323986455971,23.9264522021131,3.98774113623189,6.00000135031878,1.97315888138447e-09,2.87976026709715e-05
"GSTM1","ENSG00000134184.13",79.7147016866045,-23.5305372279846,4.25186448178919,-5.53416914597497,3.12707094896631e-08,0.000225722404666218
"CA5A","ENSG00000174990.8",19.336063737449,-22.6302413492976,4.27464779404606,-5.29405987104203,1.19630237877441e-07,0.000647648200308994
"RNVU1-7","ENSG00000206585.1",86.0446689632833,-21.3812656897987,4.34738044559204,-4.91819521143541,8.73457848204016e-07,0.00378294594057159
"PIK3R3","ENSG00000117461.15",141.378624416979,-1.50932960549923,0.315680886378555,-4.78118780903727,1.74262463511026e-06,0.00610568940191164
"RPS10-NUDT3","ENSG00000270800.3",148.852917021713,-4.11115474464472,0.864395875301061,-4.75610176091232,1.97367009066643e-06,0.00610568940191164
"PTCH1","ENSG00000185920.18",890.223758190225,-1.21731089708453,0.283268780106321,-4.29737049253231,1.72836179224252e-05,0.0467845932637648
"HJURP","ENSG00000123485.12",39.4363879366443,2.5524479940083,0.608926333476387,4.19171885609917,2.7684894247767e-05,0.0666129316594882
"ZNF100","ENSG00000197020.12",345.883151284461,-1.12631562361617,0.295221939872559,-3.81514877960079,0.00013610090775829,0.294726515750577
"CCDC40","ENSG00000141519.15",23.9723976983616,-3.09308989157738,0.839391585505541,-3.68491886860469,0.000228775502649794,0.450375773625572
"ABCB6","ENSG00000115657.14",114.015088990065,1.27629843978692,0.363212645803136,3.51391520789362,0.000441553736385796,0.735526627802647
"WASH8P","ENSG00000226210.3",531.382407686079,-1.84034272858866,0.52353170129945,-3.51524601857113,0.000439346779461956,0.735526627802647
"TTC41P","ENSG00000214198.8",38.3503433716681,1.86139079539928,0.534953754402517,3.47953590395536,0.000502283060619964,0.756324957960315
"BMS1P4-AGAP5","ENSG00000242288.9",59.2651705743801,-3.68554926237566,1.06265889041559,-3.46823359369278,0.000523891681801188,0.756324957960315
"RNF207","ENSG00000158286.13",91.74842592567,-1.31348865493547,0.385046454165023,-3.41124724231985,0.000646664251974336,0.875219648531516
"ENSG00000288534","ENSG00000288534.1",45.1965492088136,8.55706568347746,2.52800073000977,3.38491424543393,0.000712004947038654,0.906968654595415
"TSPAN6","ENSG00000000003.15",6.93401679777945,0.611957936676635,0.875254748093805,0.699176940210154,0.484441459800642,0.999998533204289
"DPM1","ENSG00000000419.14",924.546478564822,0.0585666596344993,0.191336448837697,0.306092540079382,0.759534187668848,0.999998533204289
"SCYL3","ENSG00000000457.14",850.688811106173,0.0938987837942716,0.20576924418903,0.456330508304786,0.648152328676949,0.999998533204289
"C1orf112","ENSG00000000460.17",220.219521334171,-0.344244901082618,0.378195467171914,-0.910230108406182,0.362701168819226,0.999998533204289
"FGR","ENSG00000000938.13",14655.664888788,-0.157082781292124,0.329150338273604,-0.477237186253625,0.633193234058951,0.999998533204289
"CFH","ENSG00000000971.17",155.209782687687,0.343803456224384,0.6705139533443,0.512746162118785,0.60812889427056,0.999998533204289
"FUCA2","ENSG00000001036.14",486.157161471538,0.054888089761125,0.27627647353333,0.198670878700438,0.842520205335469,0.999998533204289
"GCLC","ENSG00000001084.13",1394.16052915028,-0.18378965347307,0.581817156811346,-0.315889023418166,0.752086743712312,0.999998533204289
"NFYA","ENSG00000001167.15",2329.3450328733,-0.145936414583596,0.221063725712124,-0.660155410452272,0.509154103279934,0.999998533204289
"STPG1","ENSG00000001460.18",84.2749027032511,0.0627353800589289,0.510149245676502,0.122974562033776,0.902127241605054,0.999998533204289
"NIPAL3","ENSG00000001461.17",2291.64836640467,0.00531817961814555,0.343467377569302,0.0154837983618182,0.987646209979259,0.999998533204289
"LAS1L","ENSG00000001497.18",1436.72522695803,0.182356487466591,0.264691723368057,0.688939136993801,0.490861569279774,0.999998533204289
"ENPP4","ENSG00000001561.7",404.526302341894,-0.405552496270478,0.45854630433831,-0.884430846860051,0.376463677335954,0.999998533204289
"ANKIB1","ENSG00000001629.10",1545.98135935379,-0.0259463420121064,0.243490319076945,-0.10656005590065,0.91513800886421,0.999998533204289
"CYP51A1","ENSG00000001630.18",265.417923046202,-0.119166478494463,0.326470395473486,-0.365014654151517,0.715100467434611,0.999998533204289
"KRIT1","ENSG00000001631.17",2129.18218508457,0.0308592701432233,0.158023596209111,0.195282672230718,0.84517166148363,0.999998533204289
"RAD52","ENSG00000002016.18",323.154660954398,0.445215711807697,0.333348838083027,1.33558501168919,0.18168495181538,0.999998533204289
"BAD","ENSG00000002330.14",366.263930388446,-0.368621621115872,0.255924624071132,-1.44035230081423,0.149767751427274,0.999998533204289
"LAP3","ENSG00000002549.13",1356.3129001112,0.0539654932200207,0.430906948127369,0.125236999436986,0.900335926502828,0.999998533204289
"CD99","ENSG00000002586.20",3608.72862135533,-0.253740670964359,0.156629575459101,-1.62000484404439,0.105231236352996,0.999998533204289
"HS3ST1","ENSG00000002587.10",57.6925807236741,1.21217554843981,0.939194300834548,1.29065471049249,0.19682343565733,0.999998533204289
"AOC1","ENSG00000002726.21",32.5454656651698,-0.554282891951269,1.11083170925424,-0.498980077120222,0.617793419439124,0.999998533204289
"WNT16","ENSG00000002745.13",29.4823520745906,0.205284660356137,1.06241943974359,0.19322374259801,0.846783745198575,0.999998533204289
