"gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC25A20","ENSG00000178537.10",541.465763224379,-0.618454384819821,0.173698547052637,-3.56050407625118,0.000370143564972107,0.119429743424289
"IFNG","ENSG00000111537.5",9.85925173685418,-1.92785088686054,0.705096408215894,-2.73416636987072,0.00625384366878108,0.437638534344464
"TNF","ENSG00000232810.4",388.310100022028,-0.383364410497701,0.158238188022842,-2.42270475469778,0.0154054414362157,0.553208896152715
"OXTR","ENSG00000180914.11",20.4007879641069,-1.30033999919142,0.627235172207675,-2.07312991491632,0.0381601906467663,0.705206421979709
"IL6","ENSG00000136244.12",14.8916735506845,0.98185563941765,0.558059726146645,1.75940959975248,0.0785079625658029,0.824849154042223
"ADRB2","ENSG00000169252.6",1284.50417786145,-0.292151094332959,0.175852506053321,-1.66134166006354,0.0966448475250701,0.863048035768486
"UCP2","ENSG00000175567.11",8743.72723286174,0.200753721072145,0.150911332885085,1.33027597884258,0.183427358635616,0.949977178704341
"SLC7A9","ENSG00000021488.13",8.07191622088341,-0.12447173476993,0.612002748625623,-0.203384274089385,0.838834690402177,0.999755084243877
"SLC12A3","ENSG00000070915.10",31.9961542693451,-0.0577051977941437,0.544692172545921,-0.105940934536339,0.915629215735877,0.999755084243877
"P2RX7","ENSG00000089041.17",1019.08060016962,-0.18100449265075,0.191930120618628,-0.943074969511494,0.345642557686311,0.999755084243877
"COMT","ENSG00000093010.15",1269.00909735245,-0.160178355594124,0.169610518796388,-0.944389279219252,0.344970757907506,0.999755084243877
"FKBP5","ENSG00000096060.15",5543.0933501319,0.155031191854204,0.2672447654089,0.580109367594149,0.561840867017922,0.999755084243877
"MAPK1","ENSG00000100030.15",10537.9208214746,0.000573098264119123,0.172082710707188,0.00333036515849807,0.997342757970259,0.999755084243877
"MYH9","ENSG00000100345.23",74785.4493615255,0.0836300014232496,0.144601573972204,0.578347794743404,0.563029332259754,0.999755084243877
"NR3C1","ENSG00000113580.15",6875.4960879714,0.0603739159881256,0.123214111375543,0.489991895523337,0.624139633774368,0.999755084243877
"KLHL7","ENSG00000122550.18",426.197783020616,-0.0674876202431758,0.11574411490984,-0.583076040589587,0.559842112012744,0.999755084243877
"IDO1","ENSG00000131203.13",140.028956866019,-0.215292139240281,0.574744314583737,-0.374587679734088,0.707967137136333,0.999755084243877
"PTPN22","ENSG00000134242.16",1018.26337999966,-0.0615501597464622,0.134058634072531,-0.459128650476635,0.646141783550568,0.999755084243877
"GPNMB","ENSG00000136235.17",20.3073054677951,0.644352419167872,0.661390890250469,0.974238424910654,0.329938169977284,0.999755084243877
"NUP42","ENSG00000136243.18",459.377079387644,0.00684041553825717,0.123186202639273,0.0555290721826049,0.955716969422432,0.999755084243877
"IL10","ENSG00000136634.7",11.7589475022615,-0.283368360268949,0.44526168387721,-0.636408589666776,0.524510143708667,0.999755084243877
"POLG","ENSG00000140521.17",3485.7457867387,-0.0254522704292926,0.0764265733850421,-0.333029067011318,0.739112342019533,0.999755084243877
"CCR5","ENSG00000160791.14",820.992685880656,-0.117207441595518,0.216920718816161,-0.540323866872534,0.588973701709375,0.999755084243877
"NLRP3","ENSG00000162711.18",1652.54068449156,0.11937962934685,0.189907069739084,0.628621301517987,0.529597011281514,0.999755084243877
"COL6A3","ENSG00000163359.17",154.066912033605,-0.028126678530268,0.412506638912034,-0.0681847899574435,0.945638534646923,0.999755084243877
"ATP1A1","ENSG00000163399.16",6361.59417317216,0.0152769966365224,0.08456852959168,0.180646355213741,0.856645168209214,0.999755084243877
"GABRB3","ENSG00000166206.15",2.81190657081906,-0.458689297980713,1.06105152126569,-0.432296913757362,0.665525629963033,0.999755084243877
"CHRFAM7A","ENSG00000166664.15",50.1356785469789,-0.176274467972013,0.536737752775056,-0.328418239746756,0.742595453792571,0.999755084243877
"TOMM7","ENSG00000196683.12",517.140927861234,-0.352170028198663,0.371114668858904,-0.948952056466829,0.342644996751761,0.999755084243877
"HSPA1A","ENSG00000204389.10",10284.9050438881,0.0618307525355244,0.223065600420118,0.277186408030075,0.78163697571631,0.999755084243877
