"","gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"14101","LRRC37A4P","ENSG00000214425.9",2375.92591510725,5.83125810939886,0.592883416915822,9.83542116885821,7.92353715486373e-23,1.36332380286585e-18
"8397","U2AF1","ENSG00000160201.12",1843.62108456653,13.8028370623443,2.7554533735165,5.00927985028075,5.46340819097768e-07,0.00235008503334905
"9143","TMEM184A","ENSG00000164855.16",25.7385465462514,-9.4473454232122,1.85595516348796,-5.09028752906805,3.57520974681258e-07,0.00235008503334905
"17524","TVP23C-CDRT4","ENSG00000259024.6",207.181352625,10.5060299748006,2.08167580380771,5.04690978085224,4.49013244344368e-07,0.00235008503334905
"3886","KMO","ENSG00000117009.12",240.374405906897,-1.6091184779262,0.32863473171857,-4.89637376278348,9.76213098882347e-07,0.00335934451587393
"13670","GOLGA8O","ENSG00000206127.11",352.308431048317,1.939125308167,0.413619607572114,4.6881851649862,2.75638564448834e-06,0.00790439523317771
"10705","PMS2P6","ENSG00000174384.9",131.808353370163,9.78618071980628,2.15676390670877,4.53743717120157,5.69419869762617e-06,0.0139963403987651
"7171","RNF217","ENSG00000146373.17",279.781167278662,1.58233405867595,0.351952582140347,4.4958728504085,6.9285132267101e-06,0.0149014998223467
"12462","PDCD1","ENSG00000188389.11",170.334789309546,2.71199174733196,0.608726520370809,4.455189081757,8.38192886924939e-06,0.016024385347145
"2378","CORO7-PAM16","ENSG00000103426.12",93.0550637890854,9.53415266579706,2.17174090164711,4.39009674614779,1.13300241378004e-05,0.0194944395314994
"13609","SMG1P2","ENSG00000205534.6",296.736025330545,1.80632462471928,0.417436163487088,4.32718768213561,1.51025268772373e-05,0.0236230979499768
"14530","TUBB4BP2","ENSG00000224802.2",42.4321621461044,3.80781048424119,0.904878191544871,4.208091784973,2.57536263799039e-05,0.0369264079577189
"10967","PLAAT3","ENSG00000176485.13",143.914996163887,2.0697240180757,0.498022358973579,4.15588573641831,3.24029746305249e-05,0.0428865831917548
"18131","LRRC37A17P","ENSG00000263142.5",56.8188731993351,9.11268101511321,2.22743489030679,4.09110993760994,4.29313543924193e-05,0.0527626345482833
"18034","ISY1-RAB43","ENSG00000261796.1",472.880036456328,12.0331362481736,2.96234073880611,4.06203651407882,4.86464656032607e-05,0.0558007391446469
"595","PLEKHA5","ENSG00000052126.15",161.603759527808,3.28204953394793,0.818863013974561,4.00805687634817,6.12203783946721e-05,0.0658348644161705
"2434","MYEF2","ENSG00000104177.19",244.11746045613,-1.67807126666854,0.432390408951775,-3.88091694895965,0.000104063375334298,0.078093530542839
"3597","COMMD2","ENSG00000114744.9",524.397025046624,1.17584146256418,0.302406791645248,3.88827729750048,0.000100958245235916,0.078093530542839
"8843","GLB1L","ENSG00000163521.16",73.4322217856346,3.75616264842552,0.958185822969152,3.92007746136988,8.85205117013213e-05,0.078093530542839
"10687","ADCY6","ENSG00000174233.12",47.0030807035698,-3.46773296977801,0.896103956238632,-3.86978870658456,0.000108929718297578,0.078093530542839
"11676","CMC4","ENSG00000182712.16",63.4245334531013,2.5405347845857,0.653399621870213,3.88817914726362,0.000100999070614465,0.078093530542839
"14432","FAM95B1","ENSG00000223839.8",66.1952916669851,8.63566024095501,2.23009632853218,3.87232611007385,0.000107801582810352,0.078093530542839
"16452","C4A","ENSG00000244731.9",423.20771082486,-3.21394359771136,0.822804143335074,-3.90608582096375,9.38032085711645e-05,0.078093530542839
"18754","ENSG00000270210","ENSG00000270210.1",64.9727445482838,5.14955738544655,1.32591563153856,3.88377455017339,0.000102847277797731,0.078093530542839
"13665","DEFA1","ENSG00000206047.3",66.1730849089275,21.3675037517176,5.55621343570791,3.84569527412245,0.00012021108414316,0.0827340765506882
"9173","MYORG","ENSG00000164976.9",65.1340216134008,-2.10291608904552,0.555533536407355,-3.78539899255249,0.000153462158056986,0.0998809688415328
"12407","TPRG1","ENSG00000188001.10",102.387170984955,2.68687127892068,0.710784694214395,3.78014791369472,0.000156735217872916,0.0998809688415328
"255","ZBTB32","ENSG00000011590.14",50.3333938387133,8.51435973384755,2.26078007797516,3.76611587159479,0.00016580686466877,0.101888318338959
"19392","TBC1D3","ENSG00000274611.4",65.7489644509834,20.8293887575495,5.55621516437863,3.74884487755055,0.000177650919413607,0.105402128256225
"17354","ENSG00000257379","ENSG00000257379.1",221.993830395666,1.99971857591992,0.535418306164984,3.73487150680972,0.000187811054740501,0.107715900262169
"12151","PTCH1","ENSG00000185920.18",954.311682089204,1.33175403914639,0.360497643682421,3.69421010784634,0.000220571368625107,0.118735398582272
"17952","ENSG00000261349","ENSG00000261349.1",74.4987897274759,9.24503097963603,2.50363470326729,3.69264372616783,0.000221934837804775,0.118735398582272
"19516","ENSG00000275778","ENSG00000275778.2",54.1582800664099,8.16525797140861,2.21515493519338,3.68608887878798,0.000227726848379344,0.118735398582272
"7708","PLEKHH2","ENSG00000152527.14",51.5976647887027,3.94421598114652,1.07619695138556,3.66495740028672,0.000247379755748852,0.121611887926136
"18118","ALOX12P2","ENSG00000262943.8",51.5523835053448,3.75699988780312,1.02364451562598,3.6702193295156,0.00024234243765288,0.121611887926136
"17496","LINC02289","ENSG00000258819.2",588.205318126328,2.32045495289579,0.637870873712617,3.63781299401551,0.00027496294686597,0.131417012882663
"16849","ENSG00000251158","ENSG00000251158.1",63.4868413183225,9.17843809794368,2.53449834386734,3.621402286631,0.000293010474986663,0.136257790070825
"13853","IGHV4-39","ENSG00000211959.2",84.3238882006799,9.08421297309508,2.52331676979966,3.60010803313305,0.00031808499465651,0.144025537317366
