"name","mean","lfc","padj","direction"
"LRRC37A4P",11.2148812221986,5.83125810939886,1.36332380286585e-18,"Up"
"U2AF1",10.8491087781514,13.8028370623443,0.00235008503334905,"Up"
"TMEM184A",4.74084914044183,-9.4473454232122,0.00235008503334905,"Down"
"TVP23C-CDRT4",7.70169703804574,10.5060299748006,0.00235008503334905,"Up"
"KMO",7.91512889806001,-1.6091184779262,0.00335934451587393,"Down"
"GOLGA8O",8.46478436664684,1.939125308167,0.00790439523317771,"Up"
"PMS2P6",7.05320208184132,9.78618071980628,0.0139963403987651,"Up"
"RNF217",8.13330236336294,1.58233405867595,0.0149014998223467,"Up"
"PDCD1",7.42067430832138,2.71199174733196,0.016024385347145,"Up"
"CORO7-PAM16",6.55543371334864,9.53415266579706,0.0194944395314994,"Up"
"SMG1P2",8.21788998448221,1.80632462471928,0.0236230979499768,"Up"
"TUBB4BP2",5.44069186991767,3.80781048424119,0.0369264079577189,"Up"
"PLAAT3",7.17906308606237,2.0697240180757,0.0428865831917548,"Up"
