"","11","12","14","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000000003.15",6.35448669012687,5.97497948178747,6.17932932854791,5.78785803236818,6.02121272570392,5.86540506108933,5.88680343451795,5.64131146452738,5.73195151124773,6.10374566639656
"ENSG00000000419.14",9.99536956506388,9.91058283496149,9.98806017102647,9.93801841746235,10.0340769914624,10.0456660511876,10.2305468212182,10.2048924562532,10.0012725529674,10.4041258522972
"ENSG00000000457.14",9.99691765553368,9.75437394241898,10.1984095107237,10.0245355705501,10.06277448429,10.0121657015551,9.55299867946819,9.75719295396333,10.1376945435069,9.72233452266435
"ENSG00000000460.17",8.15341349183797,8.31800934113076,8.62796558454166,8.71619789781938,8.46138493980696,8.63275684998922,7.81350553270788,8.09742026427802,7.91731705217284,7.80234281888933
"ENSG00000000938.13",13.8284221150522,13.870124470419,13.940248378597,14.1727030443982,13.842725321139,14.3528620428613,14.5922337835516,13.5292183521378,14.1187120797041,13.2130787127564
"ENSG00000000971.17",7.913214659235,8.29112943047553,8.26392017572308,8.13361152403611,7.59884311412593,7.33122302354577,6.50016068840478,7.70903690480796,8.07272574052088,8.85898882247707
"ENSG00000001036.14",8.95115606661519,9.34588104912529,9.23157160131598,9.54983188370253,9.10918763662971,9.44345948113243,9.66432611863038,8.94296835770988,9.04969003563874,9.12483762115574
"ENSG00000001084.13",10.0737395395106,10.924831553533,10.8264042493066,10.1930843070785,9.85218214978692,10.3086608836285,12.3214955851447,10.4315190124614,10.3895828604765,10.2204004656978
"ENSG00000001167.15",11.5994382239871,11.0534584038162,11.348226435767,11.3195467276141,11.4315586944262,11.5645242235666,11.6026737699486,11.2690236974039,11.1709797722708,11.1409885961318
"ENSG00000001460.18",7.2016163840783,7.38190097556812,7.48222095556569,7.93831635179905,7.51912227486583,7.33122302354577,6.66586836718489,7.06019366770057,7.20746217852499,7.38018044037355
"ENSG00000001461.17",11.3633447770598,11.4878985501308,11.208940453432,11.4180087422973,11.5336990991671,11.0727182914742,10.1923468189635,11.4369904441139,11.4106219722632,11.8377105002002
"ENSG00000001497.18",10.3921946237596,10.5255746805132,10.4673866552754,10.5371417072332,10.707652814581,10.4924562406594,10.099061391704,11.0348137655199,10.9453539971245,10.7202605454024
"ENSG00000001561.7",8.32349547038108,9.27308742254037,9.09631304150786,8.64458529510292,8.73954665703675,8.939957402504,8.14240078437963,8.92688468909429,9.2847672908193,9.90774393416569
"ENSG00000001629.10",10.7133462884422,11.1560408277319,10.8727520317419,10.6582467774443,10.465781203718,10.9731244456624,10.2115735309908,10.9629499399241,10.8940672239197,10.5788441659274
"ENSG00000001630.18",8.1702708428169,8.90981418937939,8.46361224442731,8.6486602397082,8.44290758206262,8.57770561825777,8.79434263379647,8.45091363307384,8.3860314311099,8.81086205924169
"ENSG00000001631.17",11.11545791101,11.3655902055258,11.2996026357876,11.1583249761882,11.249310624918,11.2477386960764,10.9451242141562,11.2935382346557,11.0475394396339,11.2038253830938
"ENSG00000002016.18",8.9447217104191,8.84716179910455,8.70970718015198,8.6115560886125,8.6779216814562,8.58757769934285,7.98396231929517,8.61726542885815,8.62050244292586,9.17030537852878
"ENSG00000002330.14",8.91210647446718,8.69773779766394,8.98010365375816,9.2527755772266,8.8553050772881,9.11090628483856,9.37932081940444,8.68789841584566,8.9641272386547,8.81947431601191
"ENSG00000002549.13",10.4235938707492,10.7205009098232,10.3694875061686,11.7232214504549,10.6046742555568,10.7301237663204,10.2570046702265,10.3947830837859,10.2034888523369,10.2438954672518
"ENSG00000002586.20",11.716662824557,12.0161997183946,11.9529027413351,11.9342434703702,11.9966211814919,11.9132186421092,12.2013450340778,12.2950874978188,12.1348080592303,12.1193250044598
"ENSG00000002587.10",7.77894641871025,6.78877331483762,6.81027634924012,6.34091061023087,6.02121272570392,6.75216665815584,5.82598595181055,7.35586704706749,6.99368355000158,5.98234571054588
"ENSG00000002726.21",7.64635098538025,6.40012756435487,8.40324353748006,6.36670270493149,7.49143954979093,7.00312309895091,5.30410474030569,6.39860362088626,6.82077760167862,6.83636890565943
"ENSG00000002745.13",6.42699902303278,6.14398616553918,6.15883919269958,6.94899901826306,5.30410474030569,6.4253615886662,6.36200491778056,6.29824326203623,7.243729482607,6.82354375799027
"ENSG00000002822.16",10.5772936847839,11.1578733315081,10.8212878410462,11.1891367437362,10.7657160623537,10.6050012261621,11.797987317214,11.0046701503768,11.0983443108371,11.0095662429524
"ENSG00000002834.18",14.512758912841,13.8116867629874,14.1614756782993,14.3037088628894,14.3742278574029,14.3521460106083,14.8471890205331,13.9885293918936,14.5199015197124,13.5739206722997
"ENSG00000002919.15",11.3561346730577,10.2698784338827,10.7241170609161,11.4138647149876,11.1985484336558,11.03274914086,11.7179768109758,10.8368756934994,11.5774655769102,10.4905665724094
"ENSG00000002933.9",9.8909917923676,7.28536108487862,9.38326996174226,7.72635128838818,10.6005627181458,9.91709517369129,7.99157305251751,7.71676592005192,7.25558974488482,9.80658778355655
"ENSG00000003056.8",12.0420159109373,12.2213189284426,12.1088850622202,12.3247036421085,12.2392679764334,12.1127068005192,11.9951359979332,12.1952248023634,12.1288063986848,12.2809551239817
"ENSG00000003096.14",6.40345658089364,6.22553822173387,6.45313576738752,5.89521520812929,6.38533434722116,6.52993261413835,8.51624213868811,5.97401953130243,6.69521388557081,6.07534318705369
"ENSG00000003137.9",7.81558629406727,7.86108600491029,5.30410474030569,7.27873703288439,5.30410474030569,5.60547999622969,5.30410474030569,7.00768219994296,7.98705407626439,5.30410474030569
"ENSG00000003147.19",7.62152605977121,6.6746249747367,7.15273792935483,7.47456204504394,6.9825235198373,7.02443246838253,7.84765843209545,7.86962499264219,7.9386132234602,7.35546086416144
"ENSG00000003249.15",7.28001681212064,7.58449782704191,6.93892659913135,7.67801926178548,7.66589628593692,7.1544857260897,7.09661204682779,8.35246694169829,7.45213505936964,8.19216131800393
"ENSG00000003393.16",10.5332005595988,10.4064815346157,10.7253349883123,10.282889590317,10.5212159268003,10.0691260942161,10.1939588902546,10.551098282824,10.4890518973081,10.1788924702401
"ENSG00000003400.16",11.3723070057742,11.3825359888815,11.4191604773307,11.6359571432682,11.4810201863908,11.410691310462,11.1843132548053,11.371187473715,11.1811674771184,11.4585403366175
"ENSG00000003402.21",15.6789902687283,14.9372682866042,15.4865193611079,15.1348896507958,15.4154055139193,15.4580354352023,16.3306420492409,15.0950722394907,15.5832413499588,14.7640794497179
"ENSG00000003436.16",7.46192784906433,7.80433814472267,7.86840223742632,7.25626713152636,7.311696242508,6.80441936972658,8.91726508488748,7.4440265542537,6.94901372471685,5.98234571054588
"ENSG00000003509.16",8.67964460968775,8.63272863067643,9.0225598019181,8.89117564169593,8.5416572613498,9.08109918764473,8.70149389610004,8.89084769923361,8.54051287486636,9.16132683822692
"ENSG00000003756.17",13.2938972390613,13.0425637212248,13.2410415089047,13.1743015588229,13.2727493486161,13.2470701066749,13.439013243723,13.1400810944006,13.3497919103771,13.1551782509966
"ENSG00000004059.11",11.3058765285507,11.0622912896534,11.4408156956877,11.4759446413868,11.1289115718319,11.5099197376956,11.9496284264552,11.2291730742872,11.2697556818914,11.0758827302672
"ENSG00000004139.14",10.3815742201703,10.9895503906255,10.7596201769999,11.1419528985028,11.3803403294843,10.9096291268959,10.4991576179086,11.0540744617351,10.7847172284126,11.4239259724765
"ENSG00000004142.12",10.2187310511557,10.4301909508502,10.4260278532307,10.2672114060603,10.4210107352457,10.5494107580292,10.6310939266179,10.3023460791974,10.2840827310451,10.0369108150134
"ENSG00000004399.13",11.3152019611766,12.0738608524877,11.9075060159492,11.8940119771455,11.374936549125,11.8469884403808,12.790830312155,11.8657882434823,11.7681190459834,11.5413918057537
"ENSG00000004455.18",12.0322489840493,11.8721397458047,11.8545272977641,12.1212039596881,12.2203123757154,11.9959249508485,12.0392516373257,12.0778352108619,12.3134341185404,12.2858459347711
"ENSG00000004468.13",9.63855485625187,9.84943962335631,9.66863034340764,10.3226186559621,9.65584600378603,10.1505496338306,8.95980234530326,11.2530871689365,9.50996398585032,9.15002374625132
"ENSG00000004478.8",9.97822968431785,10.0355948373991,9.92153961813287,9.99627083437171,10.0850328786869,9.9452678483253,10.3379604752329,10.2710113348396,10.2773099672478,10.5888829251904
"ENSG00000004487.18",10.886027120633,10.5982556121788,10.5787302301222,10.9783840053071,10.9196605057465,10.6769526749142,10.3203595499379,10.9248237013663,10.6538941019301,10.9939161385062
"ENSG00000004534.15",11.7147851491679,11.9912414458946,11.9617098248002,12.2463145407381,11.7180712010135,11.7246981055234,11.3929215154066,12.0680325711439,11.7467234311687,12.0925432278618
"ENSG00000004660.15",10.4189851041479,9.63421759409174,9.27729345942084,10.2566636231044,10.3419232316559,9.94145846691958,10.902410337521,9.49786101135273,9.83585528789604,9.31489935235817
"ENSG00000004700.16",10.058996247314,9.99100868634283,9.96760109114287,10.1409788615147,10.1256825472228,10.1138014347855,10.0464827134892,10.6576383256338,10.6402396293863,11.0681317786215
"ENSG00000004766.17",9.2640727623189,9.27647778547893,9.22467196841509,9.15642562282847,9.7406241816052,9.693685993645,8.9559873932073,9.60647240573129,9.30361005929321,9.76433961450243
"ENSG00000004777.19",8.23572811935006,8.78640351485484,8.05475870645263,8.2785334724857,8.35165988256625,8.20563641028652,8.93675784983516,7.8488148843547,9.09372111483012,7.87174757894536
"ENSG00000004779.10",7.23581655411556,8.28091469252398,8.28085183276234,8.02995302210682,7.71406692247945,8.00195975677037,8.14918874975891,7.70126316336652,7.85136107250736,8.08537735486121
"ENSG00000004799.8",9.66608551818262,10.233819425249,9.31187163127888,10.1861522924104,9.65385984384197,10.7071491196948,10.7992934142853,10.5311400836463,9.85419142760035,9.50408575155239
