"gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"F8A2","ENSG00000288709.1",14.0062023455448,24.4723086898606,2.51161099823173,9.74366998197176,1.96332873707848e-22,4.19602617688413e-18
"XGY2","ENSG00000288686.2",5.21530959070038,-21.0646338599819,3.20409531719925,-6.57428440000183,4.88877104971848e-11,5.22414074372916e-07
"BLOC1S5-TXNDC5","ENSG00000259040.5",17.8360232994047,24.6957160215594,3.87163820308012,6.37862184589266,1.78688648019718e-10,1.27297792849247e-06
"TBC1D3","ENSG00000274611.4",84.1667003481807,-21.4176166703707,4.02103948125527,-5.32638805717089,1.00184975394146e-07,0.000535288323530924
"SV2C","ENSG00000122012.14",17.592493284613,-4.86035568512277,1.01385198975019,-4.7939499396952,1.63529097067883e-06,0.00698988772506959
"TAF11L5","ENSG00000284234.1",6.92148795298627,-17.5616076486223,3.72486577945083,-4.71469542486749,2.42072573158896e-06,0.00862262505591987
"GNL3LP1","ENSG00000215032.2",23.4470147407631,-8.01675229154937,1.7907924444293,-4.4766507232524,7.58231441067652e-06,0.0231498890835684
"ENSG00000285901","ENSG00000285901.2",4.5854857688534,-17.1848271586888,3.94316535891256,-4.35812997794951,1.31178474388604e-05,0.0350443294329157
"MTCO3P12","ENSG00000198744.5",21.4229849647284,5.17205302483093,1.23249093415566,4.19642277399319,2.7116386321351e-05,0.0643923787177683
"IL5RA","ENSG00000091181.20",1117.13152076048,2.0557100199893,0.525849799127854,3.90931026958418,9.25600193044522e-05,0.187652070673104
"CPT1A","ENSG00000110090.13",3480.14914510377,-0.892389703978035,0.232379810788255,-3.84022046042194,0.000122923871861476,0.187652070673104
"RGMA","ENSG00000182175.15",20.5464855349286,-4.6159131234842,1.19857250246803,-3.85117555590453,0.000117552190383273,0.187652070673104
"XIST","ENSG00000229807.13",55897.7231381901,7.40243730321942,1.92082525684878,3.85377965893865,0.000116308274628578,0.187652070673104
"ENSG00000272661","ENSG00000272661.1",32.8917610051039,-3.551308248657,0.92432905959237,-3.84203894901143,0.000122016467560594,0.187652070673104
"KRT73","ENSG00000186049.8",154.702592764559,2.81154363855928,0.756954401264475,3.71428402273989,0.000203779822510439,0.272198897918318
"SMG1P2","ENSG00000205534.6",523.488611057039,1.41198186707043,0.37897620766839,3.72577971518977,0.000194712396242551,0.272198897918318
"ENSG00000254765","ENSG00000254765.1",26.780294995503,-7.97466407028563,2.1898514153331,-3.64164619318366,0.000270900215840496,0.340569377231946
"CYP4F22","ENSG00000171954.13",72.6892205016505,-2.67078373549916,0.742504897044275,-3.59699140858313,0.000321919112026129,0.382225292345691
"SH3GL1P2","ENSG00000264943.1",12.200220612992,-7.21969656716884,2.02565032858767,-3.56413763287693,0.0003650543816147,0.41062853915102
"CADM1","ENSG00000182985.18",69.4142143927744,-1.67403119238365,0.474358028923138,-3.52904576356375,0.000417061001902301,0.413793981717717
"CD8B2","ENSG00000254126.8",45.6561684656483,4.72672333745958,1.33747906840046,3.5340540641974,0.000409237359852512,0.413793981717717
"PDCD6IP-DT","ENSG00000271643.2",43.2562691945934,-1.5949616742898,0.452669288129344,-3.52345899338782,0.000425953003826959,0.413793981717717
"MINAR1","ENSG00000169330.9",146.659238189661,1.90745515637473,0.546473775383515,3.49047885241351,0.000482155770850842,0.448027527592356
"ANKDD1A","ENSG00000166839.17",243.464427427578,-1.2237372349502,0.358230837400728,-3.41605776830789,0.000635347671875126,0.5657771018048
"ATP1A4","ENSG00000132681.17",13.8729417973631,-7.49681245021559,2.20705323577513,-3.396751980739,0.000681907421643696,0.582949016614763
"FAM20A","ENSG00000108950.12",83.2299279632738,-3.1585457287275,0.968929968224244,-3.25982871034133,0.00111479517428504,0.720973627578181
"GALK2","ENSG00000156958.15",761.156991066177,-0.733474475298348,0.22587762194885,-3.24722063642252,0.00116538008930219,0.720973627578181
"CACFD1","ENSG00000160325.15",219.608598490877,0.823560379818829,0.253009105387615,3.25506221824356,0.0011336752689194,0.720973627578181
"LAIR2","ENSG00000167618.10",35.725486543524,-3.92286822094918,1.20305780428671,-3.26074791001007,0.00111118782793199,0.720973627578181
"ADGRE1","ENSG00000174837.15",2022.6188126552,1.16289399122085,0.35747475195612,3.2530800702915,0.00114161323491895,0.720973627578181
"SAPCD2","ENSG00000186193.9",127.817368663778,-1.3265884831153,0.408999046103967,-3.24350018845295,0.00118070732571759,0.720973627578181
"LYPD2","ENSG00000197353.4",51.1714823558124,-4.41778722511052,1.35332006079515,-3.26440681187776,0.00109693540597312,0.720973627578181
"FGF7P3","ENSG00000204837.5",33.0455813816079,-4.87334433416873,1.49898998249654,-3.2510853248347,0.00114965349177299,0.720973627578181
"ZBTB47-AS1","ENSG00000230084.7",60.0183430023578,-2.02416408619536,0.614686927900247,-3.29300005306742,0.000991244559026726,0.720973627578181
"NAIPP4","ENSG00000251634.2",103.334414977918,-3.45475876688791,1.04528281191966,-3.30509478151971,0.000949442862344354,0.720973627578181
"PPFIA4","ENSG00000143847.16",114.688416621763,-1.83906721623629,0.568524798290327,-3.23480562636274,0.00121725566793968,0.722644114866857
"SHROOM2","ENSG00000146950.13",18.2590207390191,-3.4735242656442,1.07907309914519,-3.21898884180861,0.00128643491023528,0.74307261896077
"ZDHHC11","ENSG00000188818.13",171.920493882775,2.49837072794202,0.783945005206895,3.18692090816072,0.00143796090808422,0.808739487567788
"EGR2","ENSG00000122877.18",45.4134983862057,-3.06055925902316,0.97073468897224,-3.15282774355526,0.0016169719269022,0.828095169060807
