"","11","12","14","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000242259.9",10.3552786630778,10.4018471884891,10.0192075844852,9.91806452123335,10.2185300936516,10.2410970568266,10.2950507686788,10.281112841467,10.522648004424,10.3461085923242
"ENSG00000242265.6",6.76002461921849,7.49017546388143,6.55130240865481,7.17430085487499,6.71608574087539,7.01382524018289,5.82598595195449,8.26737399800751,8.53593327449153,6.88627271825926
"ENSG00000242282.6",6.18854166397599,6.20592554999332,5.9699786106453,5.78785803251437,6.09513799306903,5.82423020585077,5.304104740481,5.304104740481,5.90699471284205,6.34200621005583
"ENSG00000242288.9",7.11795976582619,6.36786484711429,5.94209306192556,7.8181061466841,7.32236804442873,6.68314906792873,6.52555683619041,7.65364954711664,6.7325755824268,7.01339027091213
"ENSG00000242294.6",9.23279482007136,10.0504842064177,9.74279299193527,10.1002544307906,9.81535800406721,9.65541250276379,9.00480246586621,9.86026490131521,9.381668661831,9.97185862434413
"ENSG00000242299.1",5.64287099212441,6.14398616566485,5.84937588539096,5.78785803251437,5.54532803025932,6.09305183265659,5.56611020731132,5.5428166373782,5.95452663489708,6.36250551241604
"ENSG00000242318.1",5.83792221311474,6.00186113118026,6.2745669935067,5.72353410463054,6.0591616504475,6.12003844973654,5.304104740481,5.88555111490379,5.73195151139723,6.2315745633318
"ENSG00000242324.1",6.97369237512466,6.93123816872097,7.30744969754824,6.82607268387418,7.03723530286507,7.33944415800455,7.21130433822035,6.99418669415605,7.27898123374567,6.62634680818851
"ENSG00000242330.3",6.65427060305735,6.12217408567776,6.29236881020665,6.3917796432322,6.19357672469586,6.28638795581082,6.39131807095682,6.34983163193819,6.69521388566759,6.01481050326574
"ENSG00000242337.6",6.0171100836322,5.97497948192273,5.57795463304316,5.9418472139646,5.78488566369217,5.77933624567178,5.67413076751389,5.5428166373782,6.3872352032613,5.94812174836889
