"","21","22","23","24","26","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000000003.15",5.75598398278828,6.02707665049979,5.89999833052583,5.66334245164478,5.73411214567707,5.63129111771911,5.86134540716086,5.70909682358528,5.73017510322043,5.48727373689096,5.57474655981658,5.94703554320129
"ENSG00000000419.14",9.69443982067119,9.77435106086918,10.4591696386671,10.1114605591979,9.85956217154198,9.75848711731999,9.8507068665806,9.8710552748544,10.055046974977,10.0332866677768,9.81396431993416,10.2345174191419
"ENSG00000000457.14",9.88981625489763,9.92760004089921,10.1474198081757,9.82616557594064,10.1149110413867,9.8448713754278,9.87935654079223,9.83759574921472,9.37843312538871,9.58607360146445,9.95013344545705,9.55335558273993
"ENSG00000000460.17",8.80869436477258,8.34201532773681,8.58463845385945,9.0938162258448,8.15695066618358,8.53954892257956,8.28247580261008,8.46087108688719,7.64404979893883,7.92985095672849,7.7380565177767,7.63742465199347
"ENSG00000000938.13",13.0802309525925,13.2090128456734,13.0262686185757,13.8160260654241,13.482705368818,13.9909303077838,13.6570208639531,14.1765399132832,14.415173680988,13.3563573395952,13.9286728704862,13.0425383636739
"ENSG00000000971.17",8.03365622980538,7.63140438620906,8.21690312632075,8.12470405230894,7.13164066320592,7.95924679530038,7.42465593142337,7.16464501935899,6.33860763380013,7.54287604979582,7.89249399692209,8.69130748902969
"ENSG00000001036.14",9.06611500035095,8.83116945223551,8.84201595602455,9.25733637672654,9.11408355638903,9.3709953349089,8.92792652687138,9.26973282258131,9.4895782830025,8.77317068615291,8.86489988322514,8.95668240376734
"ENSG00000001084.13",10.4393926159358,10.0857560801977,9.70947669217567,11.7228161212587,10.5401406244014,10.0131814771827,9.66913640095384,10.1337584781898,12.144748486704,10.2597155994379,10.2016095544599,10.0509354514519
"ENSG00000001167.15",11.1030413060778,10.9307896930716,11.1713475152117,11.2133438678111,11.1412858729971,11.1385765133114,11.2466475043645,11.3887532611218,11.4261787922128,11.0966996411415,10.9820862811999,10.9709512018394
"ENSG00000001460.18",7.34999886711582,7.32197550983628,7.24692751421094,7.28677661432331,6.89603216525181,7.76488944057591,7.34547951699147,7.16464501935899,6.5031030854537,6.89702047665269,7.03365921046303,7.21684628645595
"ENSG00000001461.17",11.5672361803476,11.2904124027493,11.5292451755454,10.5052580500075,11.2910561587926,11.2369778481122,11.3487218607965,10.8972047728058,10.0168895745585,11.2645926252932,11.2215295605397,11.6674220426428
"ENSG00000001497.18",10.6570904815812,10.4668723276264,10.5394847189617,9.96071210500762,10.4939731592767,10.3568256622199,10.5233647743516,10.3173776582946,9.92371271058878,10.8626074655131,10.7566792970021,10.5504423056374
"ENSG00000001561.7",8.8920664709782,8.52770012774466,8.81079817308404,8.59338431835998,8.46617466312975,8.46817909561501,8.55951979238351,8.76726873682926,7.97157397062919,8.75712022380722,9.09921204131319,9.73856577295404
"ENSG00000001629.10",10.7200366112115,10.6855625471389,10.9648173434741,11.5278184361846,10.7584385239279,10.4778060421037,10.2817774961654,10.7976742011992,10.036094712679,10.7907836230786,10.7054470118307,10.409114414481
"ENSG00000001630.18",8.2375693269198,8.27425848743723,8.55660951788834,8.19397663052456,8.34875575986212,8.47223995925735,8.26407900693378,8.4059792322556,8.621411179185,8.28228496280978,8.20406340678604,8.64327471020225
"ENSG00000001631.17",11.5158949999494,11.4069597529228,11.3627082917304,11.2958223440305,10.9825186968149,10.9774631978278,11.0645291659906,11.0721236884875,10.7689956203464,11.121202887276,10.8587615633546,11.0337602192507
"ENSG00000002016.18",8.87265362035993,8.7425818127019,8.69580921070015,8.49378804576875,9.24102204398116,8.4352652254545,8.49812755678132,8.41582236861688,7.81376777185968,8.44820448843074,8.43741409412249,9.00207636154937
"ENSG00000002330.14",8.24975826730388,8.61668442202464,8.1987770928751,9.29415974138132,8.63657417092067,9.07459645248671,8.6748626692271,8.93782943817066,9.20506604676421,8.51866580111392,8.77964330707441,8.65186995498968
"ENSG00000002549.13",10.3075004885326,10.3015517091587,10.4503827624348,9.69484672249909,10.1085387863266,11.5420261149663,10.4205017700705,10.5548466833578,10.0814759292865,10.2230097577651,10.0158135131559,10.0744111434633
"ENSG00000002586.20",11.4127381157711,11.3806840773019,11.4850852633643,11.9399416560661,11.9653951210643,11.7529527382252,11.8113956578197,11.737310485353,12.0246319881473,12.1224196431613,11.9452774528764,11.9489642090323
"ENSG00000002587.10",7.66203143386877,7.61285903436416,8.59844785667055,6.68902250029482,7.42770297127609,6.17894777482016,5.86134540716086,6.58912745135431,5.66987567202799,7.19123055291499,6.82186798373165,5.82638853334779
"ENSG00000002726.21",5.69305448089656,5.74701122125366,5.41940023428802,5.703795368071,6.44024964586406,6.20450231219586,7.31799040666927,6.83845756839683,5.15255379677431,6.23930878357801,6.65068577037768,6.67553166020364
"ENSG00000002745.13",6.87240602613982,6.23115371501319,7.13152667173843,6.60236074590966,6.4205698169909,6.78186417011781,5.15255379677431,6.26464074246301,6.20150491364349,6.13960323395921,7.06960531205859,6.66277158508234
"ENSG00000002822.16",10.841221415033,10.8177987455274,10.6466577444057,10.3030172951752,10.7155014015641,11.0082533265736,10.5813662468176,10.4298247725769,11.6214112669942,10.8324803886768,10.9095176938107,10.839590839755
"ENSG00000002834.18",13.4427248969617,13.823782984435,13.3752887051888,14.0109836034465,13.9239105890598,14.1219247812568,14.188466072137,14.1758239278701,14.6701155781558,13.8156292196971,14.329820227104,13.4033450929406
"ENSG00000002919.15",10.0446373367918,10.8177987455274,10.2637888364419,10.582220884479,10.7363039417726,11.232836294517,11.0138060244316,10.8572605118968,11.5414326825181,10.6647843100338,11.3882524235658,10.3208963816139
"ENSG00000002933.9",7.76908245140259,6.56224091219405,6.44503070421853,7.81679602277066,6.60251757971255,7.55405050066527,10.4163950109697,9.74264595900892,7.82134695373147,7.55057436444591,7.08136154022701,9.63751540793382
"ENSG00000003056.8",11.9522798626101,11.7194334012477,11.9261968141988,11.7192857957719,11.6945285636901,12.1432687136194,12.0539403208433,11.9367335702915,11.8184882998851,12.0225809041466,11.9392786105864,12.1105586581263
"ENSG00000003096.14",5.8645115504805,5.98750207867314,6.25898650730748,6.05164348978061,5.78001317942958,5.73756249857837,6.22154929703014,6.36844652728515,8.3441169058602,5.8175923234853,6.52643725499749,5.9188077949146
"ENSG00000003137.9",5.15255379677431,5.15255379677431,5.15255379677431,5.15255379677431,5.82259704097208,7.10920750648743,5.15255379677431,5.45135226322939,5.15255379677431,6.8447868404626,7.80734834252281,5.15255379677431
"ENSG00000003147.19",6.93904098004348,6.84910905435326,6.19840978211967,7.08946065322164,6.88297594027764,7.30375287629177,6.81305963001236,6.85963530417608,7.67804967524143,7.7028489576757,7.75921509439189,7.19222897061954
"ENSG00000003249.15",7.71660812821595,7.44394752693053,7.41900318685721,7.13967070728751,7.68360856366235,7.50599161937845,7.49126617456364,6.98890747946708,6.93097838586689,8.18411342530161,7.27625489653082,8.02603941682108
"ENSG00000003393.16",10.1654821758878,10.2059529189626,9.57254057997252,10.3055896000534,9.83660212152694,10.1028698287526,10.3371430079608,9.89448724732929,10.0184998266518,10.3792017958482,10.3009335282024,10.00946229613
"ENSG00000003400.16",11.3582539616294,11.1636112632109,11.2297092946348,10.9633197193311,11.1806671282389,11.4548054182948,11.2960764448166,11.234991937683,11.00803240032,11.1988175643591,10.9922648634223,11.2883738636191
