"gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C4A","ENSG00000244731.9",592.443954972303,3.72114783072282,0.646460113349183,5.75619091399821,8.60330841291097e-09,0.000164572686630574
"ZFHX2","ENSG00000136367.15",113.35641141319,3.00586463313666,0.604243158907153,4.97459439768112,6.53843966698186e-07,0.0062536906194848
"TVP23C-CDRT4","ENSG00000259024.6",205.335222766631,-4.31852426607467,0.892873630538039,-4.8366578632996,1.32040413943915e-06,0.00841933692777715
"TBC1D3","ENSG00000274611.4",61.8411995410802,-21.642651046324,4.60335052838702,-4.70149968221243,2.58257666236748e-06,0.0123505272436069
"TUBB2A","ENSG00000137267.7",1911.46884002968,4.23090518957398,0.909136501052478,4.6537623169634,3.25932492490207e-06,0.0123953644178361
"C4B","ENSG00000224389.9",425.176740356986,3.43983536959021,0.744990888590836,4.61728515377782,3.88792861660395e-06,0.0123953644178361
"TMEM184A","ENSG00000164855.16",26.0170769766727,7.96576147676246,1.76678726074062,4.50861382904884,6.52525566847151e-06,0.0178316593831702
"CDC7","ENSG00000097046.13",153.434964795315,1.34231260988824,0.302541276103037,4.43679165758225,9.13095908992389e-06,0.0218332645538943
"PLEKHH2","ENSG00000152527.14",48.8880131789866,-3.45348179136522,0.789055022457086,-4.37673127104775,1.2047235428388e-05,0.0256057296121815
"ENSG00000269711","ENSG00000269711.1",14.1213232163819,-19.477348538509,4.54188036385806,-4.28838872408434,1.7997392302153e-05,0.0344272117347885
"ADCY6","ENSG00000174233.12",49.708709500341,3.01639943819673,0.713686576004063,4.22650437827425,2.37349655854228e-05,0.0400462848381727
"PMS2P6","ENSG00000174384.9",133.896322406511,-4.03132285635063,0.956717509227479,-4.21370239121662,2.51218264445644e-05,0.0400462848381727
"ENSG00000231187","ENSG00000231187.3",76.9434679549293,-1.72490138696057,0.422430627312376,-4.08327728965792,4.44049846036076e-05,0.0653402269601853
"LRRC37A4P","ENSG00000214425.9",2466.41842253297,-3.18223244783083,0.795312681760128,-4.00123438342282,6.30129024544746e-05,0.0860981293608317
"SENP3-EIF4A1","ENSG00000277957.1",37.4183137278423,-4.47202042603964,1.12602654138601,-3.97150534350201,7.14198984550934e-05,0.0910794158364988
"EGLN1P1","ENSG00000254779.4",40.3229737370592,-7.3812757012669,1.87421515664199,-3.93832889202105,8.2051075353663e-05,0.0980971887775138
"ENSG00000285554","ENSG00000285554.1",43.6542693791624,-3.43199673663886,0.87494293897093,-3.92253778363584,8.76211471678851e-05,0.0985944073043808
"KIF19","ENSG00000196169.15",71.4505391670934,-3.56741667374721,0.915713451859162,-3.89577838624553,9.78838601481584e-05,0.10402335337634
"PIK3R3","ENSG00000117461.15",135.041921791732,-1.40889979801955,0.370686217073102,-3.80078819532073,0.000144236554024352,0.114962543413826
"CHI3L1","ENSG00000133048.13",3455.05040444901,-2.19292254396596,0.576426618379002,-3.80433948406613,0.000142183074494184,0.114962543413826
"SERPINE2","ENSG00000135919.14",61.7457694041204,2.30420660620943,0.603464685711606,3.81829568617143,0.000134376807797727,0.114962543413826
"NMNAT3","ENSG00000163864.17",203.94863531032,1.20926091623248,0.317664989677613,3.8067176287186,0.000140823374704514,0.114962543413826
"ADRB2","ENSG00000169252.6",1203.51213783802,-0.965916990828736,0.250558532837336,-3.85505526349731,0.000115703489405404,0.114962543413826
