"name","mean","lfc","padj","direction"
"XGY2",1.64974249901343,-22.2614924796947,5.34089035130755e-07,"Down"
"ENSG00000142539",3.11515485816267,22.9764126532664,1.05710597031348e-05,"Up"
"F8A2",5.05876845721045,22.5393850635236,1.39241340412241e-05,"Up"
"ENSG00000285505",3.85596061576209,21.979101679011,2.72846445388228e-05,"Up"
"ENSG00000267793",1.23719330832969,-21.5231265402003,4.44595684260249e-05,"Down"
"TBC1D3K",3.29638544009989,21.6164493379074,5.44905943991185e-05,"Up"
"RNVU1-18",7.44579004205998,-8.9869525208669,0.000190323092047613,"Down"
"TBC1D3G",4.51099140907968,20.0249076927911,0.000433270994825609,"Up"
"ZNF683",7.86521046814896,-1.78736955693775,0.000512080302640667,"Down"
"SNTG2",4.7030930297172,2.11590416504928,0.0012184102217829,"Up"
"CD248",7.38459047945043,1.67797745502638,0.00154262496714724,"Up"
"ENSG00000254732",4.03815429356271,-6.50759643640691,0.00160068492525411,"Down"
"RNU1-3",7.08003838351565,-12.1010909238346,0.00314116156760464,"Down"
"MPPED2",5.27239961885374,2.30988053774022,0.00589605333167876,"Up"
"ENSG00000224610",4.40998223377222,2.78521108790045,0.00810096590467136,"Up"
"PIK3R3",6.98931647496169,-1.03652860103668,0.0117675581158737,"Down"
"LRRN3",8.36980812025899,1.64594636076202,0.0117675581158737,"Up"
"ENSG00000289694",9.24256407407591,-11.241235861301,0.0117675581158737,"Down"
"ODF3",2.1407498062842,5.40355435664028,0.0161349212400005,"Up"
"SLC4A10",7.9281550761876,2.07189494245643,0.0185518945625229,"Up"
"POLR3G",4.6035193055613,-1.57211166551566,0.0205612771151163,"Down"
"CBX3P2",5.30669659964538,-1.33477886533744,0.0205612771151163,"Down"
"DEFA1",10.072724455081,-12.5740820161426,0.0262449433058004,"Down"
"TMC1",2.35503757058736,-5.24608431706736,0.0283599807555991,"Down"
"KLHL4",2.07406007443811,-4.25836399287713,0.0322399383030135,"Down"
"ENSG00000273162",2.0018107878838,-3.98098140522051,0.0335337870439121,"Down"
"KCNQ5",7.78306062279125,1.29950112829391,0.0381070633198856,"Up"
"ENSG00000225544",4.51196674743515,4.70966537319926,0.0443392340066394,"Up"
"FSCN2",5.1799916011993,1.44530863478059,0.0457247877428674,"Up"
"MED14OS",2.02241457798809,-3.97186674463546,0.047977782257831,"Down"
"GRAMD4",10.5782565463414,-0.627039160638912,0.0493459468876298,"Down"
