"","4","13","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000000003.15",6.03881095948736,6.0943842114028,6.05436900036612,6.25545163064306,6.12089021245877,6.13975528823618,5.92850594793605,6.00661815643924,6.32637350472995
"ENSG00000000419.14",9.9470539537704,10.0577861479971,9.85510555793559,9.95324322704738,9.96075931012464,10.1440794620368,10.1094637295538,9.91704786096371,10.3143243429036
"ENSG00000000457.14",10.1768703894579,9.92273637538796,9.93935250535859,9.98122728441428,9.92811059883492,9.48524525961095,9.67372959618633,10.0500828463863,9.64946828246099
"ENSG00000000460.17",8.84946893300268,8.23572540661402,8.68146037380327,8.44528172685092,8.60335549891757,7.84330398211649,8.09778080594739,7.93628943975056,7.83329727486619
"ENSG00000000938.13",13.1046385768352,13.8008152475134,14.050848808015,13.7265077627559,14.2316299109965,14.4737715634156,13.402277768681,13.9973425796305,13.0976978900599
"ENSG00000000971.17",8.56552024293786,7.86897312626849,8.13577550838894,7.64798241443454,7.40365190328092,6.6698156829048,7.74122830386315,8.07965800956653,8.82024745778869
"ENSG00000001036.14",9.04427544704047,9.1026003259682,9.47871334435371,9.05938702836176,9.37685255237858,9.59294608840873,8.89138906029662,8.99866528975829,9.07374989569787
"ENSG00000001084.13",10.0510677625325,10.3526387147113,10.1038130293598,9.77617604795475,10.2176510401316,12.2095310643228,10.3311912068279,10.2964278329613,10.1344807151443
"ENSG00000001167.15",11.4603563463162,11.4079315605748,11.2117992410045,11.327496935122,11.4551291242504,11.4959133430113,11.1556800028944,11.0653488516785,11.0394912760533
"ENSG00000001460.18",7.69437198078355,7.32473834829473,7.95534714045226,7.57560713883411,7.40365190328092,6.81467334173703,7.15785595408373,7.29244583239389,7.44960822355188
"ENSG00000001461.17",11.5806597534623,11.0450864327527,11.3092012553338,11.42863057421,10.9688060589742,10.1067397034215,11.3217895552678,11.3022751501964,11.7293064251779
"ENSG00000001497.18",10.7369011356716,10.3379566007683,10.4407551981503,10.613043299481,10.3977427296402,10.015643398234,10.9244280776933,10.8427023979383,10.6247548127984
"ENSG00000001561.7",8.27672415761965,8.54403723019343,8.61381955435932,8.70754117277828,8.89447006314784,8.14672286796831,8.87609536436815,9.22375294678331,9.8295464528061
"ENSG00000001629.10",10.7624478975658,10.8604664114125,10.5597040287944,10.3754573020627,10.8705554076759,10.1255308660952,10.8535667151464,10.7921563280043,10.4857480029771
"ENSG00000001630.18",8.201976532359,8.18181758730892,8.61766447513889,8.42794311253841,8.5514728232017,8.75860635459651,8.42684345710572,8.37118314866908,8.77455426271431
"ENSG00000001631.17",11.4479516725675,11.1766198346567,11.0524690846014,11.147223570947,11.1416684505983,10.8458803906595,11.1799104678503,10.9434838910589,11.101566391141
"ENSG00000002016.18",8.44751792191918,8.54728508258296,8.58267290052736,8.64924365117784,8.56077004591029,8.0000889548288,8.58309359176898,8.59141368530768,9.11728323347345
"ENSG00000002330.14",8.54570436156861,8.90841581458979,9.19270731067959,8.81733678199491,9.05756497073867,9.31772414242718,8.64969219593137,8.91707796564759,8.78272638483889
"ENSG00000002549.13",11.2417678872723,10.0442730035414,11.6115360050242,10.5118084737526,10.6312219220709,10.1699534638832,10.2952025746699,10.1143436027941,10.1574539051677
"ENSG00000002586.20",11.3219552589688,11.8097566720674,11.8208848178349,11.8877594875576,11.8008898322574,12.0900849341401,12.1730589468451,12.0204540443601,12.0089222560522
"ENSG00000002587.10",7.32618235421729,7.69798240962864,6.53014619656776,6.25545163064306,6.8891840407516,6.08760442901468,7.42177680479792,7.10211333595966,6.22187111074715
"ENSG00000002726.21",6.20158652381962,7.412048473487,6.55249958628979,7.5505288947199,7.11071803235652,5.64162089613393,6.5781488119805,6.94933027770349,6.96475715436551
"ENSG00000002745.13",6.3959637873328,6.53645512669092,7.06234981402231,5.64162089613393,6.60369233391165,6.54964292536475,6.49135868909965,7.32489703548897,6.9534453189857
"ENSG00000002822.16",11.0294167371839,10.4759298872533,11.0829036469458,10.6701732024839,10.5082246981508,11.6895563031111,10.8946992296336,10.9936248987291,10.9097672219335
"ENSG00000002834.18",13.8567176849877,14.1839620782619,14.1816538184486,14.2571263083242,14.2309148905422,14.728448954121,13.8605900578958,14.3979494249113,13.4575602141607
"ENSG00000002919.15",10.3414238714359,11.1542940242141,11.305100461504,11.0970550605347,10.9293654752233,11.6102039005703,10.7293686297707,11.4674668880475,10.3990891816285
"ENSG00000002933.9",8.32438056560244,9.98891185385331,7.76103716216642,10.5077689814745,9.83555496085305,8.00711294887795,7.74827078053333,7.33551962875335,9.73122437772976
