GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
ABHD6	1	1	1	1	1	1	1	1	1	1
ABHD8	1	1	1	1	1	1	1	1	1	1
ABI1	1	1	1	1	1	1	1	1	1	0.97378699896544
ABI2	1	1	1	1	1	1	1	1	1	1
ABI3	1	1	1	1	1	1	1	1	1	1
ABI3BP	1	1	1	1	1	1	1	1	1	1
ABITRAM	1	1	1	1	1	1	1	1	1	1
ABITRAMP1	1	1	1	1	1	1	1	1	1	1
ABL1	1	1	1	1	1	1	1	1	1	1
ABL2	1	1	1	1	1	1	1	1	1	1
ABLIM1	1	1	1	1	1	1	1	1	1	1
ABLIM2	1	1	1	1	1	1	1	1	1	1
ABLIM3	1	1	1	1	1	1	1	1	1	1
ABO	1	1	1	1	1	1	1	1	1	1
ABR	1	1	1	1	1	1	1	1	1	0.974053897479779
ABRACL	1	1	1	1	1	1	1	1	1	1
ABRAXAS1	1	1	1	1	1	1	1	1	1	1
ABRAXAS2	1	1	1	1	1	1	1	1	1	1
ABT1	1	1	1	1	1	1	1	1	1	1
ABT1P1	1	1	1	1	1	1	1	1	1	1
ABTB1	1	1	1	1	1	1	1	1	1	0.97378699896544
ABTB2	1	1	1	1	1	1	1	1	1	1
ACAA1	1	1	1	1	1	1	1	1	1	0.97378699896544
ACAA2	1	1	1	1	1	1	1	1	1	1
ACACA	1	1	1	1	1	1	1	1	1	1
ACACB	1	1	1	1	1	1	1	1	1	1
ACAD10	1	1	1	1	1	1	1	1	1	1
ACAD11	1	1	1	1	1	1	1	1	1	1
ACAD8	1	1	1	1	1	1	1	1	1	1
ACAD9	1	1	1	1	1	1	1	1	1	1
ACADM	1	1	1	1	1	1	1	1	1	1
ACADS	1	1	1	1	1	1	1	1	1	1
ACADSB	1	1	1	1	1	1	1	1	1	1
ACADVL	1	1	1	1	1	1	1	1	1	1
ACAN	1	1	1	1	1	1	1	1	1	1
ACAP1	1	1	1	1	1	1	1	1	1	1
ACAP2	1	1	1	1	1	1	1	1	1	0.97378699896544
ACAP2.IT1	1	1	1	1	1	1	1	1	1	1
ACAP3	1	1	1	1	1	1	1	1	1	1
ACAT1	1	1	1	1	1	1	1	1	1	1
ACAT2	1	1	1	1	1	1	1	1	1	1
ACBD3	1	1	1	1	1	1	1	1	1	0.97378699896544
ACBD4	1	1	1	1	1	1	1	1	1	1
ACBD5	1	1	1	1	1	1	1	1	1	0.97378699896544
ACBD6	1	1	1	1	1	1	1	1	1	1
ACBD7	1	1	1	1	1	1	1	1	1	1
ACCS	1	1	1	1	1	1	1	1	1	1
ACCSL	1	1	1	1	1	1	1	1	1	1
ACD	1	1	1	1	1	1	1	1	1	1
ACE	1	1	1	1	1	1	1	1	1	1
ACE2	1	1	1	1	1	1	1	1	1	1
ACER1	1	1	1	1	1	1	1	1	1	1
ACER2	1	1	1	1	1	1	1	1	1	1
ACER2P1	1	1	1	1	1	1	1	1	1	1
ACER3	1	1	1	1	1	1	1	1	1	1
ACHE	1	1	1	1	1	1	1	1	1	1
ACIN1	1	1	1	1	1	1	1	1	1	1
ACKR1	1	1	1	1	1	1	1	1	1	1
ACKR2	1	1	1	1	1	1	1	1	1	1
ACKR3	1	1	1	1	1	1	1	1	1	1
ACKR4	1	1	1	1	1	1	1	1	1	1
ACKR4P1	1	1	1	1	1	1	1	1	1	1
ACLY	1	1	1	1	1	1	1	1	1	1
ACO1	1	1	1	1	1	1	1	1	1	0.97378699896544
ACO2	1	1	1	1	1	1	1	1	1	1
ACOD1	1	1	1	1	1	1	1	1	1	1
ACOT1	1	1	1	1	1	1	1	1	1	1
ACOT11	1	1	1	1	1	1	1	1	1	1
ACOT12	1	1	1	1	1	1	1	1	1	1
ACOT13	1	1	1	1	1	1	1	1	1	0.97378699896544
ACOT2	1	1	1	1	1	1	1	1	1	1
ACOT4	1	1	1	1	1	1	1	1	1	1
ACOT6	1	1	1	1	1	1	1	1	1	1
ACOT7	1	1	1	1	1	1	1	1	1	1
ACOT8	1	1	1	1	1	1	1	1	1	0.974053897479779
ACOT9	1	1	1	1	1	1	1	1	1	1
ACOX1	1	1	1	1	1	1	1	1	1	0.97378699896544
ACOX2	1	1	1	1	1	1	1	1	1	1
ACOX3	1	1	1	1	1	1	1	1	1	1
ACOXL	1	1	1	1	1	1	1	1	1	1
ACOXL.AS1	1	1	1	1	1	1	1	1	1	1
ACP1	1	1	1	1	1	1	1	1	1	1
ACP2	1	1	1	1	1	1	1	1	1	1
ACP3	1	1	1	1	1	1	1	1	1	0.978082439938078
ACP5	1	1	1	1	1	1	1	1	1	1
ACP6	1	1	1	1	1	1	1	1	1	1
ACP7	1	1	1	1	1	1	1	1	1	1
ACR	1	1	1	1	1	1	1	1	1	1
ACRBP	1	1	1	1	1	1	1	1	1	1
ACRP1	1	1	1	1	1	1	1	1	1	1
ACSBG1	1	1	1	1	1	1	1	1	1	1
ACSBG2	1	1	1	1	1	1	1	1	1	1
ACSF2	1	1	1	1	1	1	1	1	1	1
ACSF3	1	1	1	1	1	1	1	1	1	1
ACSL1	1	1	1	1	1	1	1	1	1	0.97378699896544
ACSL3	1	1	1	1	1	1	1	1	1	0.97378699896544
ACSL4	1	1	1	1	1	1	1	1	1	0.97378699896544
ACSL5	1	1	1	1	1	1	1	1	1	1
ACSL6	1	1	1	1	1	1	1	1	1	1
ACSL6.AS1	1	1	1	1	1	1	1	1	1	1
ACSM1	1	1	1	1	1	1	1	1	1	1
ACSM2A	1	1	1	1	1	1	1	1	1	1
ACSM3	1	1	1	1	1	1	1	1	1	1
ACSM5	1	1	1	1	1	1	1	1	1	1
ACSM6	1	1	1	1	1	1	1	1	1	1
ACSS1	1	1	1	1	1	1	1	1	1	1
ACSS2	1	1	1	1	1	1	1	1	1	0.97378699896544
ACSS3	1	1	1	1	1	1	1	1	1	0.97378699896544
ACTA1	1	1	1	1	1	1	1	1	1	1
ACTA2	1	1	1	1	1	1	1	1	1	1
ACTA2.AS1	1	1	1	1	1	1	1	1	1	1
ACTB	1	1	1	1	1	1	1	1	1	0.97378699896544
ACTBP1	1	1	1	1	1	1	1	1	1	1
ACTBP11	1	1	1	1	1	1	1	1	1	1
ACTBP12	1	1	1	1	1	1	1	1	1	1
ACTBP14	1	1	1	1	1	1	1	1	1	1
ACTBP15	1	1	1	1	1	1	1	1	1	1
ACTBP2	1	1	1	1	1	1	1	1	1	1
ACTBP4	1	1	1	1	1	1	1	1	1	1
ACTBP8	1	1	1	1	1	1	1	1	1	1
ACTBP9	1	1	1	1	1	1	1	1	1	1
ACTC1	1	1	1	1	1	1	1	1	1	1
ACTE1P	1	1	1	1	1	1	1	1	1	1
ACTG1	1	1	1	1	1	1	1	1	1	0.97378699896544
ACTG1P1	1	1	1	1	1	1	1	1	1	1
ACTG1P10	1	1	1	1	1	1	1	1	1	1
ACTG1P11	1	1	1	1	1	1	1	1	1	1
ACTG1P12	1	1	1	1	1	1	1	1	1	1
ACTG1P14	1	1	1	1	1	1	1	1	1	1
