"name","mean","lfc","padj","direction"
"ENSG00000288534",5.56871378685336,-21.9511154387094,5.7228192217668e-22,"Down"
"RNU1-1",7.13664392241853,-23.3546455659265,4.86705726154275e-12,"Down"
"ENSG00000268400",5.21369248841114,-21.2680078657626,9.7184681132029e-11,"Down"
"RNU1-3",7.08003838351565,-23.4000217938435,8.13629831562176e-10,"Down"
"ENSG00000289694",9.24256407407591,-25.7437024866208,8.13629831562176e-10,"Down"
"SLC39A14",7.48456913306843,1.36996262180557,0.000146339847528019,"Up"
"CPSF1P1",4.54044984217768,-20.8984044851924,0.000357209682623624,"Down"
"ZNF571-AS1",5.47371487172058,-3.75832229862528,0.000481431929123512,"Down"
"CDAN1",9.22437059612341,0.831127769923153,0.00250701732097612,"Up"
"ENSG00000258354",4.30112180928887,-6.86924745353317,0.00326994015393229,"Down"
"F8A2",5.05876845721045,-21.5090570370847,0.00378251391685874,"Down"
"RAP1GAP",8.92558896203631,-4.99631167255309,0.00583752462226335,"Down"
"ENSG00000264324",5.80569109751238,-2.19256679462433,0.00583752462226335,"Down"
"KLRC3",4.86231504668833,-3.16533606137033,0.0095768780244471,"Down"
"DOCK6",6.25032669481655,1.97076731893881,0.0104876523529928,"Up"
"EFCAB7",6.90672272110441,-1.27802563393958,0.0104876523529928,"Down"
"CBX3P2",5.30669659964538,1.48868674719643,0.0104876523529928,"Up"
"SNORD3B-2",3.96303922284233,-6.14545793292282,0.0131579251052456,"Down"
"OR5AN1",3.53568487461437,4.05372346981513,0.0134373674959743,"Up"
"ADAMTS6",6.29379680290212,-1.55530651200955,0.0144552525181671,"Down"
"LIMCH1",4.37194646331121,2.89660097901921,0.0144552525181671,"Up"
"CD1E",4.34656324312671,1.97431269804045,0.0144552525181671,"Up"
"RBM14-RBM4",9.94312343089987,-1.00846885273945,0.0144552525181671,"Down"
"RN7SKP203",6.65284297835164,-2.82469949332866,0.0145754187482241,"Down"
"KISS1R",5.31038770142176,-2.40969473061527,0.0155922060199612,"Down"
"ENSG00000289027",7.84597309897415,-1.10978616189323,0.0217800771297285,"Down"
"PPARGC1A",4.18786671918053,-6.83980785090583,0.0219188102474943,"Down"
"RPL13P5",6.84340414434227,0.968726348780573,0.0269113483627157,"Up"
"ENSG00000287167",4.85660503430221,-3.01670188896926,0.0269113483627157,"Down"
"SLC4A10",7.9281550761876,-2.53241173788214,0.0280856064528009,"Down"
"MPPED2",5.27239961885374,-2.59705685328189,0.0300047057414548,"Down"
"LRRN2",4.3104142257162,-5.88980380679435,0.0303928229809885,"Down"
"ENSG00000286132",4.40134283608246,-6.9300885262449,0.0322989083854729,"Down"
"ENSG00000286782",5.79661787334118,-1.41160303026016,0.0338752485238203,"Down"
"BTN2A3P",7.26882682034563,0.697003801745238,0.0340923082584918,"Up"
"RABGGTA",8.9976400800952,0.359723211072091,0.0347670923427922,"Up"
"CACHD1",6.50672231321643,-1.99735257230876,0.0347670923427922,"Down"
"GSTO2",5.7362379263172,1.75887675485032,0.0359430898238767,"Up"
"IGHV3-11",6.4997920471416,-2.63107031552697,0.0359430898238767,"Down"
"FGGY-DT",2.9491257121939,-5.37291411393366,0.0359430898238767,"Down"
"ZNF683",7.86521046814896,1.79561849417266,0.041322141319425,"Up"
"AIFM3",7.31575177561856,1.13542267710707,0.0421265679125639,"Up"
"ENSG00000253214",5.92130861685505,-2.52960857768971,0.0421265679125639,"Down"
"LRRN3",8.36980812025899,-1.8171199787972,0.0431802306741896,"Down"
