"name","mean","lfc","padj","direction"
"XGY2",1.64974249901343,-22.2614924378249,5.34089083537863e-07,"Down"
"ENSG00000142539",3.11515485816267,22.9764127182902,1.05710585493792e-05,"Up"
"F8A2",5.05876845721045,22.5393830710983,1.39241798679776e-05,"Up"
"ENSG00000285505",3.85596061576209,21.9791017827581,2.72846399846729e-05,"Up"
"ENSG00000267793",1.23719330832969,-21.5231263231837,4.44595836558889e-05,"Down"
"TBC1D3K",3.29638544009989,21.6164504695748,5.44904996223518e-05,"Up"
"RNVU1-18",7.44579004205998,-8.98695252086691,0.000190323092047612,"Down"
"TBC1D3G",4.51099140907968,20.1650718684181,0.000354338930577072,"Up"
"ZNF683",7.86521046814896,-1.78736955693776,0.000512080302697576,"Down"
"SNTG2",4.7030930297172,2.1159041650487,0.0012184102215943,"Up"
"CD248",7.38459047945043,1.67797745502636,0.00154262496726014,"Up"
"ENSG00000254732",4.03815429356271,-6.5075964364179,0.00160068492584483,"Down"
"RNU1-3",7.08003838351565,-12.1010909238769,0.00314116156739244,"Down"
"MPPED2",5.27239961885374,2.30988053774015,0.00589605333219753,"Up"
"ENSG00000224610",4.40998223377222,2.78521108790047,0.00810096590487009,"Up"
"PIK3R3",6.98931647496169,-1.03652860103679,0.0117675581172907,"Down"
"LRRN3",8.36980812025899,1.64594636076202,0.0117675581172907,"Up"
"ENSG00000289694",9.24256407407591,-11.2411698459167,0.0117675581172907,"Down"
"ODF3",2.1407498062842,5.4035543566406,0.0161349212386347,"Up"
"SLC4A10",7.9281550761876,2.07189494245641,0.0185518945661692,"Up"
"POLR3G",4.6035193055613,-1.57211166551493,0.0205612771114751,"Down"
"CBX3P2",5.30669659964538,-1.33477886533702,0.0205612771114751,"Down"
"DEFA1",10.072724455081,-12.5740820170153,0.0262449432209232,"Down"
"TMC1",2.35503757058736,-5.24608431706916,0.0283599807566918,"Down"
"KLHL4",2.07406007443811,-4.25836399286111,0.0322399382990144,"Down"
"ENSG00000273162",2.0018107878838,-3.98098140519575,0.0335337870384384,"Down"
"KCNQ5",7.78306062279125,1.29950112829391,0.0381070633213609,"Up"
"ENSG00000225544",4.51196674743515,4.70966537319857,0.0443392340204572,"Up"
"FSCN2",5.1799916011993,1.4453086347807,0.0457247877380458,"Up"
"MED14OS",2.02241457798809,-3.97186674461574,0.0479777822503678,"Down"
"GRAMD4",10.5782565463414,-0.6270391606389,0.0493459468759629,"Down"
