"","10","10H","11","11H","13","13H","14","18","20","22","24","25","25H","26","26H","28","28_27H","4","5","6","7","9","9H"
"ENSG00000000003.15",6.02295776965699,5.88821862048348,6.41724972434405,6.10512215190178,5.93129915614788,5.95891498634463,6.25488930546679,6.08989973041826,6.23979037056782,6.26079197901788,5.91898839589807,6.16778827312337,5.97780681462335,5.98387004529611,5.75103415874491,6.03775908629674,5.83521364170809,5.87071018299213,5.85023986093208,5.90910500790203,6.13800461529684,6.04095782630088,6.18259870082036
"ENSG00000000419.14",9.86776268351612,9.87896252701922,9.93500557821025,9.9712993870167,10.0820364834207,9.97745417679564,9.93306293925432,9.67893746915541,10.0718600459735,9.89323028128963,10.2322229639294,10.0154506387013,10.1553971164451,9.97351376312226,10.1364584289517,9.84158047269976,9.93517507447208,9.96883518984038,9.9569383897465,9.96990275162289,10.2254100813957,10.0784865006128,10.3395029619129
"ENSG00000000457.14",9.83575073512321,9.9645116188318,9.93653644809201,9.99968467309259,9.9450405790606,9.94433340570906,10.1412739544278,10.0645938460503,9.93856613820007,10.0450295405366,9.9493584422664,9.88301421784188,9.48649188397926,10.2265885483965,9.6939622221574,10.1865567088996,10.0701028974766,10.2018043642507,10.2095430127062,10.1377010395574,10.0802511820795,9.93848431963926,9.66504171649287
"ENSG00000000460.17",8.09589499733344,8.67795671608283,8.13027741538887,8.42740646330637,8.21371811902621,8.58962580267105,8.59591091053558,8.7548972345253,8.55194934172261,8.48347305331206,9.22564501861534,8.25051860188954,7.79326805036623,8.29950599957215,8.07151434374511,8.43486730266837,7.89793575867727,8.84799855758845,8.55472226223857,8.15564360781664,8.37394666323693,7.83420219357444,7.79132657390121
"ENSG00000000938.13",13.9321294099141,14.0972122089361,13.7524739944503,13.7646111210685,13.844097063154,14.2686230207339,13.8699519759659,13.3552519130338,13.810109224121,13.3143304265486,13.9260806235798,13.8041805501898,14.5025034352818,13.58333128886,13.447245031784,13.7008761907683,14.0363796934106,13.1459807606316,13.3147911172886,13.5915989671083,14.4029719101449,13.6940457081634,13.1375146898364
"ENSG00000000971.17",7.94462271980177,8.1116410802286,7.89827094520778,7.59473669985558,7.8304528678594,7.33568350164011,8.2416567300895,7.72460593111645,7.67508442571893,7.7926540931438,8.27544863782448,7.9222203066813,6.54902295878888,7.30872901160742,7.69766331310098,7.79094012220654,8.04778450608915,8.55511278514371,9.31468944206542,8.17956842874424,8.20793785471692,7.85295553704788,8.81666337012174
"ENSG00000001036.14",9.08147348767448,9.49582440402522,8.90707384255556,9.06010329676132,9.10877002684079,9.38344095052956,9.18704970859784,9.09965567559141,8.90406647477617,8.96272714689586,9.38688885061376,8.95699065944899,9.59613802252015,9.23718351446716,8.8937611608446,8.96160333914033,8.99837776623529,9.04813899747248,8.8380257924259,8.8964536289939,9.11519295462385,9.49276507817295,9.0770674963832
"ENSG00000001084.13",9.86403339140669,10.1313200894765,10.0125246010859,9.7915203066773,10.3805917044366,10.2377338493173,10.7643634595875,10.6084318383193,10.2492192856501,10.2018303750314,11.835850643595,9.95075741805848,12.2347056816127,10.6487698608596,10.3609642621048,9.56936165992856,10.319551645616,10.0743338384651,10.3249649249643,10.4839561498552,9.67558727535797,10.6168539373825,10.1574517720832
"ENSG00000001167.15",11.2281521296889,11.2499670619165,11.5279634049601,11.3586786919867,11.4445403244967,11.485472144041,11.2833957479435,11.2728017068664,11.2623142337832,11.0415683183962,11.3280026738869,11.3212657879471,11.5182466192258,11.246826697905,11.1928625896488,11.3247317253763,11.0954850444162,11.496318579456,11.1345335603644,11.1880871280821,11.8088266273354,10.9922797654021,11.0713431457712
"ENSG00000001460.18",7.02260570178187,7.92297436256078,7.21684060356367,7.51842554354768,7.25578435590802,7.33568350164011,7.48799072912048,7.55903466941815,7.35310896536616,7.49415254368613,7.46347606561681,7.82609369439107,6.7042730617329,7.08339796049318,7.07922818131857,7.45827451572673,7.21899839879158,7.64626123656755,7.71913009293025,7.16507811144172,7.23009094057765,7.57814584899404,7.38681930065901
