"","4","11","12","13","14","19","20","27","28","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000000003.15",6.09570023836293,6.62803068888194,6.28091618835323,6.15467665465245,6.46860901941208,6.54888008268715,6.45512387944822,6.12871509141082,6.25788381494483,6.11245229135112,6.32448240488105,6.18233993110915,6.20095125011848,5.97941645198401,6.06158974631058,6.3986353333111
"ENSG00000000419.14",10.127434532944,10.0966096269599,10.0056691552852,10.240840895207,10.0903407634597,10.2077547776177,10.2326187827637,10.0547108774606,10.0004382701083,10.0364954404918,10.1342223356112,10.1411183491867,10.3194529571207,10.293554193328,10.0964022607782,10.4960588267572
"ENSG00000000457.14",10.3593484839396,10.0981331616385,9.85228845232708,10.1044878923485,10.2975606572292,10.3672103506785,10.099938098263,10.3038247753366,10.3437698655421,10.1216066196873,10.1624784508621,10.108149045858,9.65385628722876,9.85331533784426,10.2307069827319,9.82485484502161
"ENSG00000000460.17",9.01444322278635,8.30737120055528,8.45860482948031,8.38800565874482,8.76364617973328,8.99733677241531,8.72373158030016,8.22731906654346,8.60542430318416,8.84477053264528,8.6020254419998,8.76314221467492,7.9777774269861,8.24663192593816,8.0780735939779,7.97102810760611
"ENSG00000000938.13",13.2980679575988,13.9073669928967,13.9407508088563,13.9966575311707,14.0200707774864,14.436973352785,13.9647467150424,14.3526369962678,13.8522689406598,14.247227949696,13.9211219946252,14.4258189234004,14.6608893476484,13.598389049489,14.1907663969182,13.289145198179
"ENSG00000000971.17",8.72460093980951,8.07868524235449,8.43288546678606,8.01036047127215,8.41376486075631,7.70307896156285,7.8589018370121,8.41522083386081,7.97067364053549,8.28554626446338,7.781090390236,7.52716016183884,6.75782310413817,7.87874196541863,8.22572395679279,8.98302964766095
"ENSG00000001036.14",9.21277443085315,9.07553924787296,9.45260052480806,9.2735772847472,9.34914111046524,9.2255477888663,9.0723635948073,9.13106206383889,9.12663957582601,9.65563163841958,9.22863968949327,9.55035784980374,9.76286172270054,9.05912134831108,9.16570502479291,9.24106453038793
"ENSG00000001084.13",10.2324359418446,10.1737659765049,11.0070221636399,10.5381751617403,10.9183651668093,10.9959517662584,10.409238622613,10.4999677978001,9.72979274585161,10.2876263800357,9.95531719020438,10.4003123036457,12.394244373968,10.5171353433332,10.4791356418193,10.3147545150478
"ENSG00000001167.15",11.6501884271854,11.6847980847821,11.1345390432087,11.5992810570109,11.4360905868547,11.6397494295147,11.419413210126,11.4193104651429,11.4785150904556,11.4027071985193,11.5173936076373,11.6447773613921,11.6787081232363,11.3465758167202,11.2527719365733,11.225647722527
"ENSG00000001460.18",7.82874214152886,7.40925854021687,7.57288369155853,7.44615803536717,7.67236493179159,7.50328174029563,7.54271592646529,8.05576171387172,7.64394323185746,8.09973173331283,7.70609685274979,7.52716016183884,6.9094707439962,7.27252264185046,7.4111507130845,7.57385230146987
"ENSG00000001461.17",11.7709112663973,11.4501312389509,11.565857570925,11.2348754663993,11.2977637708603,11.1324979431099,11.3587265999036,11.294154735922,11.4665848150374,11.5005186617458,11.6189166113974,11.1563623859573,10.2818006620166,11.5133951397204,11.4907295206315,11.9180892075266
"ENSG00000001497.18",10.9233562164376,10.4878643480055,10.611870321952,10.5233803386994,10.5630995137045,10.4210739109282,10.6427803944781,10.791508319705,10.6690767323815,10.6272913377242,10.7992960301646,10.5818052120805,10.1899097634039,11.1141951001571,11.0289961643815,10.8086420021619
"ENSG00000001561.7",8.42879006195722,8.47007696706887,9.38161446317386,8.70401497161285,9.21742020096553,8.57730056629453,9.04454383760065,9.16233585150421,9.03266143693885,8.77566020185637,8.87016028368614,9.06015384912615,8.28994707929862,9.04353663020833,9.3944735665726,10.0069244759757
"ENSG00000001629.10",10.9490519081657,10.8054368486447,11.2363013016887,11.0493041694386,10.9642894539508,10.9952695815509,11.0489898803437,10.308461392785,10.6918681420504,10.7470675943828,10.5600647606115,11.0576003374668,10.3007500442673,11.0429516584897,10.9781696511356,10.6687249382241
"ENSG00000001630.18",8.35204573106213,8.32346937635358,9.02859611254907,8.33261916858023,8.60535628175544,8.53587122262934,8.5293902190857,8.99277638396442,8.11119983727657,8.77959014540958,8.58426793538622,8.7101038659249,8.9158173334807,8.58451324818117,8.5250582188536,8.93644666356325
"ENSG00000001631.17",11.6377385418234,11.2040043242146,11.4443389400579,11.3670187366251,11.3877915855256,11.3751520066496,11.4691540373799,11.3115603091283,11.3421855344272,11.2426470337378,11.3363572309093,11.3300472894723,11.0259153101608,11.3709147937326,11.1303095687898,11.2880119148716
"ENSG00000002016.18",8.60386302134686,9.06929599295704,8.96793634279168,8.70733730845948,8.84256490006056,8.91228884082835,8.95764454089492,8.25720214682037,8.95695960225274,8.74381809011705,8.81062935292596,8.71961061597638,8.13924527366077,8.74444155871819,8.75044090847834,9.28531081255496
"ENSG00000002330.14",8.70433788837574,9.03766016339888,8.82355292816431,9.07596124880553,9.10447828089113,9.2090561019971,8.97882444762563,8.87150334063751,8.96048998966985,9.36546337551168,8.98217160324282,9.2261466955688,9.4841267486225,8.81251455145174,9.08265851811085,8.94477962632341
"ENSG00000002549.13",11.4307454012627,10.5188800473453,10.8046590905852,10.2272023467374,10.4663838702549,12.6040397644845,11.4186462055243,10.3696352129735,10.1022081666345,11.8039664389854,10.6973912621631,10.8168727781222,10.3455391711781,10.480863602462,10.2955434894708,10.3379238613563
"ENSG00000002586.20",11.5112609066239,11.8013938457195,12.0914021427745,12.0024435220665,12.0374984125746,11.866225473798,11.9243377207984,11.9783386056559,11.6321058268466,12.0139632637486,12.0795147055116,11.9916603166465,12.2745381787143,12.3672809482217,12.2111956903339,12.1984671642217
"ENSG00000002587.10",7.44669414479914,7.95143514908991,7.02289651649381,7.83359866723839,7.046811220881,7.10048300818781,7.48028947660816,6.90797329315869,8.62570880168941,6.61435520414433,6.32448240488105,6.99044443621409,6.14603223200754,7.54745083478456,7.21276294592487,6.28851575246132
"ENSG00000002726.21",6.26753330394933,7.82619289630175,6.66697693667577,7.53698740868934,8.54734952098296,7.57610145366657,6.58752678722503,7.89168993389713,6.35228679127514,6.63787977684004,7.68009216687681,7.22205240338045,5.67589067812934,6.66494654657986,7.05311727279031,7.0687173084387
"ENSG00000002745.13",6.47244744489233,6.69430174232238,6.43403514625788,6.6208787340278,6.44995511629567,6.48253454335055,6.72733664058222,6.7283777511108,7.10999154813608,7.17264648384753,5.67589067812934,6.69095204613682,6.63182319600902,6.5735956491453,7.44491946810256,7.05689017369076
"ENSG00000002822.16",11.2174353311185,10.6708103071833,11.2381196540135,10.6623714941816,10.9132963014436,10.7689011273583,10.9542273618275,11.0352503085761,10.7500970183296,11.2732271002712,10.8567848145978,10.6930690490863,11.8729662617402,11.0843081390821,11.1807022535581,11.0952796032382
"ENSG00000002834.18",14.0508427958643,14.5910371401439,13.8823861031866,14.3800540529479,14.2410668371719,14.6274772198881,14.1097331087197,14.7032523046088,14.3547651043079,14.3781111912022,14.452085011994,14.4251035133593,14.9156697816898,14.0570861995715,14.5915965188731,13.6493826029933
