"gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"XGY2","ENSG00000288686.2",3.42590798941058,-22.5372881189236,3.38383325904609,-6.660283292232,2.73300271458832e-11,6.28235334002416e-07
"BLOC1S5-TXNDC5","ENSG00000259040.5",26.0191004598297,23.8616640931864,3.87672126093908,6.15511471861825,7.50231693828782e-10,8.6227879730211e-06
"TBC1D3","ENSG00000274611.4",55.3059444441805,-22.2092399143134,3.9509674472156,-5.62121561643469,1.8961843438314e-08,0.000145291965038841
"PLD5","ENSG00000180287.17",5.00942263613823,5.73670557367846,1.26318846591879,4.5414486661781,5.58689905388072e-06,0.032106512137889
"NOTCH3","ENSG00000074181.9",44.0906229965033,-4.58186495593443,1.05129103613171,-4.35832209964777,1.3106339629638e-05,0.0502125715110816
"CPT1A","ENSG00000110090.13",3277.15502018311,-0.803079842178086,0.183316701287395,-4.38083293305096,1.18226496199482e-05,0.0502125715110816
"ENSG00000250602","ENSG00000250602.6",9.89315346822823,2.33583874213538,0.576027583316161,4.05508140545646,5.01168459974181e-05,0.164576562706093
"LPL","ENSG00000175445.17",44.713854957946,-4.7832599916539,1.19615567018225,-3.99886077614388,6.36481045843538e-05,0.182884872510068
"ALDH4A1","ENSG00000159423.17",164.342125762629,-1.1577086809698,0.292223083551127,-3.96172905610741,7.44089508016593e-05,0.190048728008638
"MEST","ENSG00000106484.16",112.507196156058,1.16785486491345,0.300511049973051,3.88622935834867,0.000101813317897106,0.193165512868423
"CCDC122","ENSG00000151773.13",72.2072405263018,-1.79786626400672,0.464674173859453,-3.86909013917032,0.000109242252894658,0.193165512868423
"GIMAP3P","ENSG00000177590.7",22.0552195087654,-5.80354123789629,1.49474903113635,-3.88261916683384,0.000103337345354275,0.193165512868423
"ENSG00000273010","ENSG00000273010.1",11.6100804654597,-3.53621118532158,0.913330990864218,-3.87177400164153,0.000108046109080835,0.193165512868423
"DEPDC1","ENSG00000024526.17",18.9773204455582,-5.05136524298655,1.37911178146893,-3.66276708738302,0.000249505384307471,0.216035781399231
"BCAP29","ENSG00000075790.12",232.810101857963,-0.724647545289546,0.195155803131284,-3.71317446707984,0.000204675685097144,0.216035781399231
"IFNG","ENSG00000111537.5",12.9461333193695,-4.53324576037701,1.25945375065323,-3.59937453679883,0.000318983486955275,0.216035781399231
"BSPRY","ENSG00000119411.11",21.8315829000707,-2.16580591301667,0.583558992176728,-3.71137441467232,0.000206136932811232,0.216035781399231
