"name","mean","lfc","padj","direction"
"C4A",9.21296797751649,3.72114783072334,0.00016457268702058,"Up"
"ZFHX2",6.83739344275401,3.00586463313711,0.00625369062392437,"Up"
"TVP23C-CDRT4",7.68884630946355,-4.31852426614123,0.00841933693435507,"Down"
"TBC1D3",5.97363881459412,-21.6428066093808,0.0123484830311127,"Down"
"TUBB2A",10.9012205267414,4.2309051895744,0.0123953644340508,"Up"
"C4B",8.73530804641639,3.43983536959049,0.0123953644340508,"Up"
"TMEM184A",4.75579969037352,7.96576147672593,0.0178316593750938,"Up"
"CDC7",7.27085561223855,1.34231260988797,0.0218332645845902,"Up"
"PLEKHH2",5.64062130915452,-3.45348179136515,0.0256057296116425,"Down"
"ENSG00000269711",3.91851248538449,-19.4773479153485,0.0344272330000689,"Down"
"ADCY6",5.66416165422291,3.0163994381968,0.0400462848520726,"Up"
"PMS2P6",7.07570720731064,-4.0313228563906,0.0400462848520726,"Down"
